backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.078559,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.06834,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.07723,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.081246,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.079641,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.059607,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.091325,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.067371,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.068663,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.063859,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.06084,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.061342,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.063586,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.05803,1866
GKO,omp,CG,BiCGStab,BJ,25,1,1.01295,4.070986,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.710674,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.744832,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.546807,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.754422,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.564477,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.760871,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.704163,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.745864,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.703058,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.777113,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.754416,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.71796,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.76847,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.550682,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.768991,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.71639,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.77632,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.772985,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.772689,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.771789,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.765357,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.773576,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0.725062,2.726904,1866
