backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n448.localdomain\n', 'uptime': ' 13:00:19 up 202 days, 23:27,  0 users,  load average: 2.01, 12.68, 21.91\n'}}
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.661767,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.677392,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.667193,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.666898,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.669237,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.679459,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.671894,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.667734,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.66826,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.66556,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.683111,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.668327,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.670531,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.673348,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.669763,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.667991,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0f05fd0778fe5f8b3fc57223011ed3ac,0.908412,3.669206,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.463802,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.344684,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.509992,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.33678,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.501401,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.479208,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.342135,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.324534,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.48762,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.485986,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.48933,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.483404,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.494224,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.481715,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.33309,1681
GKO,omp,CG,BiCGStab,BJ,25,2,aceaddc56e3a134dc6b07d84c6176048,0.662142,2.31339,1681
