backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n477.localdomain\n', 'uptime': ' 00:33:44 up 256 days, 23:45,  0 users,  load average: 3.07, 23.38, 33.70\n'}}
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.073954,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.059875,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.061305,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.067963,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.059327,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.069487,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.070641,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.075962,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.064017,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.067035,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.078808,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.069393,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.059516,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.059823,1866
GKO,omp,CG,BiCGStab,BJ,25,1,ccd1e4af47c22355a605d71fe99c0e84,1.009515,4.055437,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.777298,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.776592,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.767856,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.719133,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.761914,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.698105,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.740075,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.725712,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.576907,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.748545,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.697463,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.539444,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.543233,1866
GKO,omp,CG,BiCGStab,BJ,25,2,0f3b0d014fc20889b64340e585376334,0.734432,2.696517,1866
