backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.092634,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.10135,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.117661,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.130306,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.11413,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.102145,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.108441,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.110988,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.118141,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.112561,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.108008,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.132197,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.109323,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.092112,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.10058,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.097433,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.095383,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.134255,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.120347,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.104436,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.106266,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.09904,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.122541,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.101297,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.116148,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.098223,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.116495,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.098825,2114
GKO,omp,CG,BiCGStab,none,25,1,0.597373,2.095773,2114
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.712876,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.748822,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.753027,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.762428,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.747729,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.770886,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.745023,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.577726,2113
GKO,omp,CG,BiCGStab,none,25,2,0.505626,1.725302,2113
