backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.886737,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.888448,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.883293,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.871396,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.893926,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.895831,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.884857,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.896773,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.874798,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.871619,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.878943,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.890614,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.893482,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.890639,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.880369,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.902894,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.883336,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.895429,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.896518,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.88757,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.871059,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.872301,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.874713,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.86838,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.885826,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.880827,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.881252,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.889038,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.869294,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.869794,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.879654,1931
GKO,omp,CG,BiCGStab,none,25,1,0.584043,1.892721,1931
GKO,omp,CG,BiCGStab,none,25,2,0.504607,1.60772,1931
