backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n524.localdomain\n', 'uptime': ' 12:32:35 up 262 days, 23:53,  0 users,  load average: 0.32, 10.29, 25.12\n'}}
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.243317,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.223797,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.183549,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.22049,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.423319,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.310907,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.319089,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.172434,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.400545,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.452515,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.365531,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.33298,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.380458,1441
OF,mpi,BiCGStab,BiCGStab,none,25,1,0c9d5312066dacef49a0da79598c898f,4.126712,4.42097,1441
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.19576,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.089538,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.07709,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.149081,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.033316,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,4.965187,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.093753,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.128474,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,4.979576,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.072221,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.223927,3014
OF,mpi,BiCGStab,BiCGStab,none,50,1,fb4a03206e68960d6d8500f211db6ee7,4.457622,5.078556,3014
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.442444,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.842023,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,8.23994,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.522984,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.601375,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.704059,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.88182,4402
OF,mpi,BiCGStab,BiCGStab,none,75,1,ff0299f1c323b3fb80b472c2d5f91dfc,4.826875,7.30511,4402
OF,mpi,BiCGStab,BiCGStab,none,100,1,67e48eadb7ff89f8bb96f84af33f5e1d,7.605384,17.016036,5862
OF,mpi,BiCGStab,BiCGStab,none,100,1,67e48eadb7ff89f8bb96f84af33f5e1d,7.605384,17.610653,5862
OF,mpi,BiCGStab,BiCGStab,none,100,1,67e48eadb7ff89f8bb96f84af33f5e1d,7.605384,16.918633,5862
OF,mpi,BiCGStab,BiCGStab,none,100,1,67e48eadb7ff89f8bb96f84af33f5e1d,7.605384,17.063337,5862
OF,mpi,BiCGStab,BiCGStab,none,100,1,67e48eadb7ff89f8bb96f84af33f5e1d,7.605384,16.987193,5862
