backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n556.localdomain\n', 'uptime': ' 12:32:08 up 263 days,  2:01,  0 users,  load average: 0.38, 9.12, 24.39\n'}}
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.294781,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.40417,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.360847,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.050307,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.135218,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.413832,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.338825,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.221724,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.122358,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.218869,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.350615,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.368699,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.206294,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.328027,1822
OF,mpi,CG,BiCGStab,none,25,1,fa30fabd3c3bb2f3450df364ade47f6d,4.394337,4.380205,1822
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.809088,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.944344,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.817209,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.784701,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.541085,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.863849,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.666222,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.804031,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,5.581472,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.853394,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.94467,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.756951,3658
OF,mpi,CG,BiCGStab,none,50,1,a01e1869f328d699f5ee3b130ef16920,4.336527,4.757787,3658
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.698555,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.57083,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.695224,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.546631,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.115394,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.24148,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.594718,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.58718,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.525366,5520
OF,mpi,CG,BiCGStab,none,75,1,bd3a1584bfa1b2cebf022f9ede52096a,4.726665,6.941371,5520
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.637195,7274
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.639027,7274
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.711644,7274
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.355849,7274
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.366869,7274
OF,mpi,CG,BiCGStab,none,100,1,7aa75fcc181959ba9a477bee6ab959ad,5.880578,11.488918,7274
