backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.769909,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.75011,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.774901,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.76911,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.764046,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.753435,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.770402,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.74981,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.761932,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.765439,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.757207,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.762701,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.760616,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.761011,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.757836,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.754489,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.750327,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.755571,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.766785,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.758202,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.76421,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.760771,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.761403,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.76551,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.760088,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.767319,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.286961,0.756021,1577
