backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.782167,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.789477,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.773706,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.763626,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.759088,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.767486,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.764672,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760073,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.764211,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.772191,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.761838,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.758702,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760817,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.765485,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.759331,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.758274,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760402,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.757264,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.759348,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.758005,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.758205,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.757106,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.761631,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.764898,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.775247,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760994,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760561,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760697,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.759079,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.778128,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.779122,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.778023,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.763988,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.767425,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.770243,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.767162,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.757558,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.759486,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.761486,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.767415,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.765756,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.769276,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.765831,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.761282,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.769093,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.77245,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.771361,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.768405,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.768782,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.76805,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.768802,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.757361,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.768026,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.762168,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.7715,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.779751,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760317,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.760319,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.771805,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.772186,1576
OF,reference,BiCGStab,BiCGStab,none,25,1,0.301751,0.775632,1576
