backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n387.localdomain\n', 'uptime': ' 15:55:56 up 256 days, 49 min,  0 users,  load average: 0.42, 1.12, 2.04\n'}}
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.766918,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.785595,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.763009,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.776362,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.77357,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.758591,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.762796,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.764352,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.755719,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.7609,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.760617,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.757728,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.768673,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.751931,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.749486,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.755915,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.752213,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.764958,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.757844,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.760589,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.76235,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.755281,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.759757,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.747227,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.751504,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.763128,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.754262,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.758791,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.766196,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.762549,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.764849,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.757828,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.758782,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.75963,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.764793,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.76016,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.769484,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.767709,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.760671,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.760117,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.759502,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.765774,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.760296,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,62e6995c259ade2a839060420a62da18,0.289823,0.75896,1577
