backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568399,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566224,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.564857,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567806,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.56799,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570997,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573057,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567438,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.574441,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570847,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572813,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.578852,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570181,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567583,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.562686,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566729,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570595,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569979,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571635,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571638,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569783,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.565941,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573309,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.575457,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569923,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572708,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570979,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569541,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.575539,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57008,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568687,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572518,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569253,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.56782,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.565555,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569604,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568166,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57095,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573821,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570357,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568887,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569691,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57509,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.576145,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572049,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.565676,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.56984,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57318,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571894,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568418,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.56441,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567105,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573909,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570324,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571497,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569383,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.564279,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572267,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567732,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566919,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566964,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571544,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573618,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57414,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566539,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.56613,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573055,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568294,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569062,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.574322,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.564821,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57089,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571945,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.573472,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.576427,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570147,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566128,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566182,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567281,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570927,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569661,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.575165,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.565301,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568829,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566806,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571485,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.5688,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570393,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.565794,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569637,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567991,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572965,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.569287,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.568113,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57574,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572561,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566463,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.570427,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.566941,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.571377,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.57347,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567826,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.567594,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.577589,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.572549,1894
OF,reference,CG,BiCGStab,none,25,1,0.248316,0.574254,1894
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.068504,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.18579,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.074612,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.067638,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.110237,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.268505,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.186221,3808
OF,reference,CG,BiCGStab,none,50,1,1.940295,8.055216,3808
OF,reference,CG,BiCGStab,none,75,1,9.507434,43.074377,5693
OF,reference,CG,BiCGStab,none,75,1,9.507434,42.355645,5693
OF,reference,CG,BiCGStab,none,75,1,9.507434,42.458808,5693
OF,reference,CG,BiCGStab,none,75,1,9.507434,42.82414,5693
OF,reference,CG,BiCGStab,none,75,1,9.507434,42.779652,5693
OF,reference,CG,BiCGStab,none,100,1,29.497012,140.947157,7578
OF,reference,CG,BiCGStab,none,100,1,29.497012,143.010388,7578
OF,reference,CG,BiCGStab,none,100,1,29.497012,140.457611,7578
OF,reference,CG,BiCGStab,none,100,1,29.497012,139.949225,7578
OF,reference,CG,BiCGStab,none,100,1,29.497012,143.342823,7578
