backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.574992,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.578561,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.576003,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.581515,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.577193,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.570475,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.563378,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.578018,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569642,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.571145,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.566832,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.565893,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.566165,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.565579,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.572074,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.577423,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.57328,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.570256,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.571288,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.576283,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.571217,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.566207,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.572741,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.570953,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.570316,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.570742,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569738,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.579156,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.578484,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.572812,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569625,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569622,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.575339,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.576889,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.575927,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.575058,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.568347,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.576118,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.579268,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569385,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569904,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.565279,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.562721,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.564549,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.566393,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.574006,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.579508,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.575853,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.566346,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.571887,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.581605,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.577912,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.567405,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569026,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.568805,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569993,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.564793,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.571651,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.576905,1894
OF,reference,CG,BiCGStab,none,25,1,0.249467,0.569814,1894
