backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n400.localdomain\n', 'uptime': ' 15:50:48 up 254 days, 11:11,  0 users,  load average: 1.80, 3.10, 2.92\n'}}
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.56979,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.564013,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.562194,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.562378,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.561571,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.575371,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.57129,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.573111,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.566783,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.562704,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.562213,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.568869,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.569136,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.563717,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.563775,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.563737,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.566597,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.563269,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.565765,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.563065,1894
OF,reference,CG,BiCGStab,none,25,1,346e50ff15800eae55122e36e22ebbfd,0.237802,0.55963,1894
