backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n538.localdomain\n', 'uptime': ' 01:57:39 up 255 days,  5:31,  0 users,  load average: 0.89, 0.97, 4.79\n'}}
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575386,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.576473,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575741,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.576231,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.578087,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.580324,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.576356,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.57377,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575523,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575758,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574972,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.564785,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574157,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.578771,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.579302,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.571929,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.567859,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574609,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.572093,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.573243,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.568282,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574485,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574257,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575582,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.573958,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.569921,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.57244,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.575123,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.570506,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.573578,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.570222,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.571078,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.572698,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.574337,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.578394,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.579714,1894
OF,reference,CG,BiCGStab,none,25,1,24638c061245f49a22368de3072e546d,0.257363,0.577051,1894
