backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BJ,25,1,1.183725,1.468558,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.476728,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.47839,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.486237,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.481957,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.472428,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.472733,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.471269,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.463564,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.481347,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.467338,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.467625,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.477861,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.460806,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.470942,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.463581,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.468501,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.488166,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.472513,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.473095,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.475348,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.466305,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.476409,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.475708,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.472707,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.479599,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.480401,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.47332,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.475329,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.486457,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.484173,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.471808,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.47227,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.478493,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.470353,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.465,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.466396,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.470774,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.477051,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.470281,1482
GKO,cuda,CG,BJ,25,1,1.183725,1.46955,1482
GKO,cuda,CG,BJ,50,1,2.781144,3.906088,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.895305,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.906221,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.888509,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.888028,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.896842,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.892696,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.896897,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.889824,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.885982,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.897923,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.890686,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.9045,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.900881,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.88609,3021
GKO,cuda,CG,BJ,50,1,2.781144,3.903612,3021
GKO,cuda,CG,BJ,75,1,7.952437,13.289915,4499
GKO,cuda,CG,BJ,75,1,7.952437,13.358485,4499
GKO,cuda,CG,BJ,75,1,7.952437,13.252934,4499
GKO,cuda,CG,BJ,75,1,7.952437,13.397976,4499
GKO,cuda,CG,BJ,75,1,7.952437,13.344884,4499
