backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.693736,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.68877,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.682273,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.68521,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.670323,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680628,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.676306,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.66973,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.68363,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.6696,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.689668,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680418,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680125,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.691422,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.678543,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.697651,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.662311,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680278,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.691122,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.672613,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.68546,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.696248,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.700492,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.676231,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.689593,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.695055,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680769,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.690382,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.690637,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.691784,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.678989,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.682568,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.697352,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.69008,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.691872,1191
GKO,cuda,BiCGStab,BJ,25,1,1.252684,1.680834,1191
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.391228,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.385615,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.388068,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.374671,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.381123,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.369062,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.388796,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.383024,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.392949,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.354164,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.371844,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.361312,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.366724,2623
GKO,cuda,BiCGStab,BJ,50,1,2.839331,4.407086,2623
GKO,cuda,BiCGStab,BJ,75,1,8.411348,16.313937,4103
GKO,cuda,BiCGStab,BJ,75,1,8.411348,16.364004,4103
GKO,cuda,BiCGStab,BJ,75,1,8.411348,16.404457,4103
GKO,cuda,BiCGStab,BJ,75,1,8.411348,16.487137,4103
GKO,cuda,BiCGStab,BJ,75,1,8.411348,16.340421,4103
GKO,cuda,BiCGStab,BJ,100,1,26.270279,42.3251,5478
GKO,cuda,BiCGStab,BJ,100,1,26.270279,39.330365,5478
GKO,cuda,BiCGStab,BJ,100,1,26.270279,40.246457,5478
GKO,cuda,BiCGStab,BJ,100,1,26.270279,38.678387,5478
GKO,cuda,BiCGStab,BJ,100,1,26.270279,39.085345,5478
