backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n489.localdomain\n', 'uptime': ' 17:51:35 up 224 days,  2:31,  0 users,  load average: 21.49, 21.58, 24.26\n'}}
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.736623,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.741094,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.723619,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.863196,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.748889,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.905074,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.802984,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.72494,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.709476,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.906058,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.803731,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.781854,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.714914,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.922381,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.840891,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.820418,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.713435,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.723388,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.854564,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.730113,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.909776,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.916506,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.893405,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.903735,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.801077,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.707727,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.807424,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.70545,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.699501,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.709787,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.708436,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.923613,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.727112,981
GKO,cuda,BiCGStab,BJ,25,1,5974f5754f3c9bbc19467245c460e348,1.499601,1.70055,981
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.612121,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.567271,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.7772,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.470475,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.669942,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.488071,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.67613,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.4696,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.46757,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.466039,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.741372,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.763929,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.713039,2147
GKO,cuda,BiCGStab,BJ,50,1,b3be9c14a1e42a8d426719d9ca6f5086,3.109936,4.615766,2147
GKO,cuda,BiCGStab,BJ,75,1,93930a05ddd7e6d97c1f9af7b925d325,8.938292,15.742445,3276
GKO,cuda,BiCGStab,BJ,75,1,93930a05ddd7e6d97c1f9af7b925d325,8.938292,15.851249,3276
GKO,cuda,BiCGStab,BJ,75,1,93930a05ddd7e6d97c1f9af7b925d325,8.938292,15.93264,3276
GKO,cuda,BiCGStab,BJ,75,1,93930a05ddd7e6d97c1f9af7b925d325,8.938292,16.064768,3276
GKO,cuda,BiCGStab,BJ,75,1,93930a05ddd7e6d97c1f9af7b925d325,8.938292,15.668524,3276
GKO,cuda,BiCGStab,BJ,100,1,6bf1de69c827fa5344d618eb6a23754d,21.085206,37.850883,4377
GKO,cuda,BiCGStab,BJ,100,1,6bf1de69c827fa5344d618eb6a23754d,21.085206,37.824117,4377
GKO,cuda,BiCGStab,BJ,100,1,6bf1de69c827fa5344d618eb6a23754d,21.085206,38.705978,4377
GKO,cuda,BiCGStab,BJ,100,1,6bf1de69c827fa5344d618eb6a23754d,21.085206,37.624459,4377
GKO,cuda,BiCGStab,BJ,100,1,6bf1de69c827fa5344d618eb6a23754d,21.085206,37.714287,4377
