backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 22:21:05 up 226 days, 10:21,  0 users,  load average: 1.97, 2.00, 2.00\n'}}
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.80158,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.792162,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.654252,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.62368,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.619598,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.625873,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.795302,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.79179,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.790564,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.789431,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.643017,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.639881,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.618762,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.620699,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.629686,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.625296,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.805779,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.785664,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.809466,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.675545,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.64086,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.637491,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.824418,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.646774,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.797993,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.803721,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.792817,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.797348,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.635332,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.639235,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.628453,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.628875,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.643715,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.639641,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.8151,1191
GKO,cuda,BiCGStab,BJ,25,1,fb83212987bcd33f0438851c31c18d8a,1.374929,1.790962,1191
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.585333,2623
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.28515,2623
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.275293,2623
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.515192,2623
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.520531,2623
GKO,cuda,BiCGStab,BJ,50,1,e4b30c99e03e9b09a21b205b703994fb,2.807409,4.305187,2623
