backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,none,25,1,1.27347,1.760766,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.77642,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.763196,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.73774,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.732799,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.751439,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.763761,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.762827,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.748805,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.756663,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.741851,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.751893,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.756181,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.763289,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.742037,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.72475,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.748522,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.745656,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.740673,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.743306,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.778628,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.757755,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.739668,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.746973,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.730239,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.777828,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.774779,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.764357,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.750144,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.851506,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.767295,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.76407,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.762931,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.774597,1351
GKO,cuda,BiCGStab,none,25,1,1.27347,1.77571,1351
GKO,cuda,BiCGStab,none,50,1,2.897482,4.375194,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.357843,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.358577,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.387048,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.360391,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.36416,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.408638,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.353894,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.376944,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.385785,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.324858,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.346204,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.383297,2844
GKO,cuda,BiCGStab,none,50,1,2.897482,4.421575,2844
GKO,cuda,BiCGStab,none,75,1,8.211955,15.899468,4342
GKO,cuda,BiCGStab,none,75,1,8.211955,15.824853,4342
GKO,cuda,BiCGStab,none,75,1,8.211955,15.875747,4342
GKO,cuda,BiCGStab,none,75,1,8.211955,15.861786,4342
GKO,cuda,BiCGStab,none,75,1,8.211955,15.907293,4342
GKO,cuda,BiCGStab,none,100,1,18.558711,35.597411,5181
GKO,cuda,BiCGStab,none,100,1,18.558711,35.270553,5181
GKO,cuda,BiCGStab,none,100,1,18.558711,35.595052,5181
GKO,cuda,BiCGStab,none,100,1,18.558711,35.924471,5181
GKO,cuda,BiCGStab,none,100,1,18.558711,35.962089,5181
