backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n489.localdomain\n', 'uptime': ' 17:22:34 up 224 days,  2:02,  0 users,  load average: 23.70, 25.99, 38.60\n'}}
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.84263,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.780775,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.845395,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.775966,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.761158,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.803075,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.804406,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.795566,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.813762,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.828451,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.832103,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.854182,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.850014,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.880869,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.839895,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.823671,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.828668,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.837467,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.837351,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.865093,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.831526,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.835515,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.846278,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.936398,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.854421,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.847651,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.83201,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.824297,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.994699,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.843254,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.838309,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.843961,1353
GKO,cuda,BiCGStab,none,25,1,736b3cf6a691751a736098e5029fa179,1.349623,1.854721,1353
