backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,BJ,25,1,1.217728,1.538994,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.539183,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.532339,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.545928,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.530874,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.522325,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.533662,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.543027,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.531682,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.533805,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.536625,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.539527,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.540335,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.535272,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.532318,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.545024,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.527701,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.525056,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.541723,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.536181,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.539169,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.538142,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.530584,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.520744,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.532879,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.537954,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.530039,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.539789,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.518825,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.530444,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.534017,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.55026,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.534639,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.535343,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.516656,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.529918,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.529584,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.536904,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.538769,1610
GKO,cuda,CG,BJ,25,1,1.217728,1.551809,1610
GKO,cuda,CG,BJ,50,1,2.772864,3.99312,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.981503,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.975434,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.973772,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.98335,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.971149,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.999238,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.985028,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.994639,3350
GKO,cuda,CG,BJ,50,1,2.772864,4.005781,3350
GKO,cuda,CG,BJ,50,1,2.772864,4.004456,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.995805,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.983629,3350
GKO,cuda,CG,BJ,50,1,2.772864,3.989377,3350
GKO,cuda,CG,BJ,50,1,2.772864,4.067638,3350
GKO,cuda,CG,BJ,50,1,2.772864,4.008771,3350
GKO,cuda,CG,BJ,75,1,7.88879,13.711578,5131
GKO,cuda,CG,BJ,75,1,7.88879,13.829414,5131
GKO,cuda,CG,BJ,75,1,7.88879,13.808048,5131
GKO,cuda,CG,BJ,75,1,7.88879,13.701218,5131
GKO,cuda,CG,BJ,75,1,7.88879,13.816692,5131
GKO,cuda,CG,BJ,100,1,23.750105,32.50906,6910
GKO,cuda,CG,BJ,100,1,23.750105,32.366147,6910
GKO,cuda,CG,BJ,100,1,23.750105,32.37352,6910
GKO,cuda,CG,BJ,100,1,23.750105,32.265636,6910
GKO,cuda,CG,BJ,100,1,23.750105,32.29426,6910
