backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 22:12:37 up 226 days, 10:13,  0 users,  load average: 1.81, 1.96, 2.04\n'}}
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.625079,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.617378,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.590643,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.665682,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.670987,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.512688,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.650142,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.527386,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.640706,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.659019,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.581771,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.568195,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.615625,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.628837,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.632031,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.631216,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.636457,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.637688,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.632432,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.623319,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.620044,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.62371,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.63552,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.627735,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.634332,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.629378,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.62932,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.629877,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.629957,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.630897,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.630599,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.594345,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.523466,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.636904,1610
GKO,cuda,CG,BJ,25,1,e978f9d7f5892dcb8a61ce2ab2ab7210,1.319614,1.635359,1610
