backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n489.localdomain\n', 'uptime': ' 17:14:24 up 224 days,  1:54,  0 users,  load average: 26.03, 37.28, 49.02\n'}}
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.644702,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.67966,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.59391,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.644537,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.628161,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.69252,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.625434,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.602377,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.571915,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.569208,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.567489,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.566929,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.581575,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.556118,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.555712,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.571925,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.558579,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.582669,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.620962,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.654264,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.63057,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.626562,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.60737,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.596649,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.602856,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.650131,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.640442,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.60473,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.641686,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.634187,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.610415,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.624744,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.733315,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.644698,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.637313,1668
GKO,cuda,CG,none,25,1,4dc93432916c3c39ebd85c37b08c16fa,1.285318,1.650538,1668
