backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 21:44:42 up 226 days,  9:45,  0 users,  load average: 2.99, 2.17, 1.73\n'}}
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.68007,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.713071,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.710117,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.723137,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.673264,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.679972,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.692784,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.673241,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.673426,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.687832,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.512009,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.510501,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.501303,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.668588,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.666391,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.679991,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.496463,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.673378,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.673097,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.666073,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.676819,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.674904,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.683544,1668
GKO,cuda,CG,none,25,1,4b39b0356c24d1da3dbe0f075ba979b5,1.37981,1.66507,1668
