backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,IR,none,25,1,1.254105,1.577566,27
GKO,cuda,IR,none,25,1,1.254105,1.577502,27
GKO,cuda,IR,none,25,1,1.254105,1.57302,27
GKO,cuda,IR,none,25,1,1.254105,1.571694,27
GKO,cuda,IR,none,25,1,1.254105,1.583839,27
GKO,cuda,IR,none,25,1,1.254105,1.56859,27
GKO,cuda,IR,none,25,1,1.254105,1.553747,27
GKO,cuda,IR,none,25,1,1.254105,1.575111,27
GKO,cuda,IR,none,25,1,1.254105,1.569213,27
GKO,cuda,IR,none,25,1,1.254105,1.576707,27
GKO,cuda,IR,none,25,1,1.254105,1.569061,27
GKO,cuda,IR,none,25,1,1.254105,1.577308,27
GKO,cuda,IR,none,25,1,1.254105,1.573336,27
GKO,cuda,IR,none,25,1,1.254105,1.571045,27
GKO,cuda,IR,none,25,1,1.254105,1.569452,27
GKO,cuda,IR,none,25,1,1.254105,1.574091,27
GKO,cuda,IR,none,25,1,1.254105,1.578533,27
GKO,cuda,IR,none,25,1,1.254105,1.568316,27
GKO,cuda,IR,none,25,1,1.254105,1.569857,27
GKO,cuda,IR,none,25,1,1.254105,1.571494,27
GKO,cuda,IR,none,25,1,1.254105,1.593651,27
GKO,cuda,IR,none,25,1,1.254105,1.57466,27
GKO,cuda,IR,none,25,1,1.254105,1.566628,27
GKO,cuda,IR,none,25,1,1.254105,1.569748,27
GKO,cuda,IR,none,25,1,1.254105,1.580574,27
GKO,cuda,IR,none,25,1,1.254105,1.574166,27
GKO,cuda,IR,none,25,1,1.254105,1.583139,27
GKO,cuda,IR,none,25,1,1.254105,1.571901,27
GKO,cuda,IR,none,25,1,1.254105,1.573415,27
GKO,cuda,IR,none,25,1,1.254105,1.566911,27
GKO,cuda,IR,none,25,1,1.254105,1.570833,27
GKO,cuda,IR,none,25,1,1.254105,1.570014,27
GKO,cuda,IR,none,25,1,1.254105,1.554762,27
GKO,cuda,IR,none,25,1,1.254105,1.554987,27
GKO,cuda,IR,none,25,1,1.254105,1.567837,27
GKO,cuda,IR,none,25,1,1.254105,1.57012,27
GKO,cuda,IR,none,25,1,1.254105,1.578689,27
GKO,cuda,IR,none,25,1,1.254105,1.580775,27
GKO,cuda,IR,none,25,1,1.254105,1.588244,27
GKO,cuda,IR,none,50,1,2.816549,4.076909,31
GKO,cuda,IR,none,50,1,2.816549,4.113796,31
GKO,cuda,IR,none,50,1,2.816549,4.118558,31
GKO,cuda,IR,none,50,1,2.816549,4.100493,31
GKO,cuda,IR,none,50,1,2.816549,4.135989,31
GKO,cuda,IR,none,50,1,2.816549,4.11187,31
GKO,cuda,IR,none,50,1,2.816549,4.129847,31
GKO,cuda,IR,none,50,1,2.816549,4.118657,31
GKO,cuda,IR,none,50,1,2.816549,4.110075,31
GKO,cuda,IR,none,50,1,2.816549,4.111994,31
GKO,cuda,IR,none,50,1,2.816549,4.106123,31
GKO,cuda,IR,none,50,1,2.816549,4.08797,31
GKO,cuda,IR,none,50,1,2.816549,4.115861,31
GKO,cuda,IR,none,50,1,2.816549,4.101024,31
GKO,cuda,IR,none,50,1,2.816549,4.096384,31
GKO,cuda,IR,none,75,1,7.430699,11.498031,32
GKO,cuda,IR,none,75,1,7.430699,11.429965,32
GKO,cuda,IR,none,75,1,7.430699,11.445603,32
GKO,cuda,IR,none,75,1,7.430699,11.436673,32
GKO,cuda,IR,none,75,1,7.430699,11.53822,32
GKO,cuda,IR,none,75,1,7.430699,11.439145,32
GKO,cuda,IR,none,100,1,16.804221,26.529273,32
GKO,cuda,IR,none,100,1,16.804221,26.591273,32
GKO,cuda,IR,none,100,1,16.804221,26.581614,32
GKO,cuda,IR,none,100,1,16.804221,26.47597,32
GKO,cuda,IR,none,100,1,16.804221,26.639497,32
