backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n489.localdomain\n', 'uptime': ' 17:34:36 up 224 days,  2:14,  0 users,  load average: 22.28, 21.92, 29.24\n'}}
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.685944,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.67131,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.804276,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.810287,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.757384,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.726963,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.670336,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.660637,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.648867,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.679042,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.627366,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.628978,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.635429,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.63157,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.62286,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.670147,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.659898,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.665917,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.666967,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.639517,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.61712,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.635372,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.642453,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.66281,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.66219,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.65709,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.657452,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.65745,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.647489,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.600328,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.664837,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.596652,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.784736,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.664217,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.660643,27
GKO,cuda,IR,none,25,1,ecccf4a0f34b47223a49bc7920bbd511,1.319791,1.658876,27
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.202119,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.206742,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.320267,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.300622,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.370466,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.372015,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.366582,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.34753,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.309053,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.303218,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.371113,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.325849,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.373656,31
GKO,cuda,IR,none,50,1,ef0c8a878613dda3b9692b8c3444887a,3.089773,4.373319,31
GKO,cuda,IR,none,75,1,b7215ed0f71a1847772b448e90c88fde,8.073117,12.533097,32
GKO,cuda,IR,none,75,1,b7215ed0f71a1847772b448e90c88fde,8.073117,12.331004,32
GKO,cuda,IR,none,75,1,b7215ed0f71a1847772b448e90c88fde,8.073117,12.275815,32
GKO,cuda,IR,none,75,1,b7215ed0f71a1847772b448e90c88fde,8.073117,12.121775,32
GKO,cuda,IR,none,75,1,b7215ed0f71a1847772b448e90c88fde,8.073117,12.285904,32
GKO,cuda,IR,none,100,1,4ea5356a66f0edfc3e821f190c1b10be,18.01815,27.965516,32
GKO,cuda,IR,none,100,1,4ea5356a66f0edfc3e821f190c1b10be,18.01815,28.438517,32
GKO,cuda,IR,none,100,1,4ea5356a66f0edfc3e821f190c1b10be,18.01815,28.209774,32
GKO,cuda,IR,none,100,1,4ea5356a66f0edfc3e821f190c1b10be,18.01815,28.25263,32
GKO,cuda,IR,none,100,1,4ea5356a66f0edfc3e821f190c1b10be,18.01815,28.615985,32
