backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 22:04:14 up 226 days, 10:05,  0 users,  load average: 1.65, 2.21, 2.15\n'}}
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.671529,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.60878,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.656728,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.652643,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.672917,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.657037,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.54891,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.65992,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.658501,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.611691,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.662793,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.660495,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.699438,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.602561,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.655699,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.660734,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.65472,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.658697,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.658895,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.659161,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.651685,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.657155,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.654054,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.651469,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.657342,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.69894,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.660736,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.667984,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.668361,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.656955,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.650573,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.653811,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.643445,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.662982,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.658289,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.652954,27
GKO,cuda,IR,none,25,1,d31946320eb8abd0b25470243d81fa6a,1.346177,1.654952,27
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.214951,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.258198,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.212847,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.210159,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.21876,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.207187,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.217921,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.20963,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.222705,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.233359,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.255508,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.204007,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.226672,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.21463,31
GKO,cuda,IR,none,50,1,b4930879aff1bfda70a1c567bcb95e4d,2.933864,4.206417,31
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,11.982213,32
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,11.971444,32
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,12.028471,32
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,11.973791,32
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,11.986955,32
GKO,cuda,IR,none,75,1,d0972b2df9064c7f960dfced3f45edea,7.65159,12.004241,32
GKO,cuda,IR,none,100,1,fd3fcd6d2dedfa44880fae717f8710b9,17.055274,28.255506,32
GKO,cuda,IR,none,100,1,fd3fcd6d2dedfa44880fae717f8710b9,17.055274,28.341579,32
GKO,cuda,IR,none,100,1,fd3fcd6d2dedfa44880fae717f8710b9,17.055274,28.34013,32
GKO,cuda,IR,none,100,1,fd3fcd6d2dedfa44880fae717f8710b9,17.055274,27.959827,32
GKO,cuda,IR,none,100,1,fd3fcd6d2dedfa44880fae717f8710b9,17.055274,26.760233,32
