backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,none,25,1,1.318631,1.787694,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.739792,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.697982,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.703582,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.686374,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.678596,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.685837,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.689389,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.691136,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.693564,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.683176,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.695921,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.691805,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.690077,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.685688,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.692582,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.693779,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.684813,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.693235,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.687967,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.688171,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.694784,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.6826,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.693582,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.680749,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.69346,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.679812,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.696733,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.69613,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.688811,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.69055,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.694781,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.685671,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.688222,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.687478,1353
GKO,cuda,BiCGStab,none,25,1,1.318631,1.686549,1353
GKO,cuda,BiCGStab,none,50,1,2.851369,4.342066,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.324994,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.330833,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.337592,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.316456,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.363218,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.323597,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.327509,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.322481,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.353216,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.39004,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.362574,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.35274,2807
GKO,cuda,BiCGStab,none,50,1,2.851369,4.347381,2807
GKO,cuda,BiCGStab,none,75,1,8.594144,16.374213,4403
GKO,cuda,BiCGStab,none,75,1,8.594144,16.03362,4403
GKO,cuda,BiCGStab,none,75,1,8.594144,16.005208,4403
GKO,cuda,BiCGStab,none,75,1,8.594144,15.982329,4403
GKO,cuda,BiCGStab,none,75,1,8.594144,16.003762,4403
GKO,cuda,BiCGStab,none,100,1,19.428557,37.317812,5763
GKO,cuda,BiCGStab,none,100,1,19.428557,37.385875,5763
GKO,cuda,BiCGStab,none,100,1,19.428557,37.375386,5763
GKO,cuda,BiCGStab,none,100,1,19.428557,37.400879,5763
GKO,cuda,BiCGStab,none,100,1,19.428557,37.510681,5763
