backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.873519,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.869376,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.977239,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.996412,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.861905,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.859478,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.84891,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.068517,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.117196,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.123556,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.05637,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.00633,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.867691,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.006407,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.968698,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.151063,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.176811,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.159138,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.954341,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.853758,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.857071,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.93264,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.21394,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.132241,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,2.137064,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.994876,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.851858,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.845438,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.968984,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.840981,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.332349,1.857615,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,10.612547,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,12.995333,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,9.20315,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,6.347918,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,5.575467,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,5.612117,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,6.135971,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,4.199605,5.625293,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.656507,19.67328,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.656507,19.704148,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.656507,20.061071,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.656507,19.636012,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.656507,19.771867,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,22.196104,48.850308,5022
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,22.196104,49.30286,5022
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,22.196104,49.237641,5022
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,22.196104,49.819933,5022
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,22.196104,50.360551,5022
