backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n483.localdomain\n', 'uptime': ' 22:48:57 up 4 days,  5:22,  0 users,  load average: 3.16, 4.56, 11.43\n'}}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.794013,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.801114,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799508,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.793544,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.798932,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.788518,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.806038,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.790194,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799398,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.802562,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.796925,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.794498,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.795503,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.794944,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.797923,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799007,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.793614,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.804985,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.812244,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799832,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.812074,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.802376,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.79639,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.798931,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799617,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.798074,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.802987,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.812537,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.800397,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.798085,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.799342,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.803151,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.805326,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,fac8042b5fcd95ca1bdc98bd1b65dc90,1.257749,1.816377,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.620481,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.585748,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.590174,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.70175,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.611232,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.584976,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.580578,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0a2ba4ce45ba7cabbc7c07be6ff769a4,3.193462,5.561893,2477
