backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 23:03:15 up 226 days, 11:04,  0 users,  load average: 1.91, 1.99, 2.13\n'}}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.057911,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.044426,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.050556,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.038355,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.043696,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.040384,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.100384,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.05732,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.054014,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.066147,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.052441,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.063516,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.056957,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.948698,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.88643,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.891201,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.885615,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.007908,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.12652,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.074935,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.052943,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.054419,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,2.042628,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.938847,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.885406,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.894921,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.871089,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.882297,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.876198,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.900143,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,dde886d02d6400bd24b09dd495109761,1.419993,1.884431,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.864185,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.677307,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.827516,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.624798,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.634646,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.602095,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.635054,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.709843,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.688138,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.806468,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,eca9fbb5a8a830380ba8b1257e79acf1,3.356034,5.827752,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,fe36a865ba94e16e4872e96625e8947d,9.661942,20.935117,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,fe36a865ba94e16e4872e96625e8947d,9.661942,21.304382,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,fe36a865ba94e16e4872e96625e8947d,9.661942,20.964082,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,fe36a865ba94e16e4872e96625e8947d,9.661942,20.957459,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,fe36a865ba94e16e4872e96625e8947d,9.661942,20.790162,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,efa30ef54a1336ae6e2dca129d7eddda,21.957863,51.39575,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,efa30ef54a1336ae6e2dca129d7eddda,21.957863,52.266229,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,efa30ef54a1336ae6e2dca129d7eddda,21.957863,51.730257,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,efa30ef54a1336ae6e2dca129d7eddda,21.957863,51.769591,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,efa30ef54a1336ae6e2dca129d7eddda,21.957863,52.004491,5998
