backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.936141,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.9502,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.971792,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.938565,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.951735,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.9396,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.939567,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.954591,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.928646,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.926971,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.927515,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.935522,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.949068,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.927423,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.927751,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.918942,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.943267,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.93538,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.930027,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.991478,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.943675,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.929399,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.952045,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.984627,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.974421,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.964146,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.983615,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,2.008936,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.986,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.931944,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.312736,1.943602,1591
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.631557,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.663953,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.670714,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.662837,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.667189,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.864176,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.666358,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.671952,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.643101,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.674844,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.126999,5.656976,3121
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.589983,20.166373,4653
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.589983,20.328059,4653
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.589983,20.235559,4653
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.589983,20.370403,4653
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.589983,20.744575,4653
GKO,cuda,BiCGStab,BiCGStab,none,100,1,21.222369,48.688118,6377
GKO,cuda,BiCGStab,BiCGStab,none,100,1,21.222369,49.684562,6377
GKO,cuda,BiCGStab,BiCGStab,none,100,1,21.222369,49.614686,6377
GKO,cuda,BiCGStab,BiCGStab,none,100,1,21.222369,48.713323,6377
GKO,cuda,BiCGStab,BiCGStab,none,100,1,21.222369,48.99092,6377
