backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.98888,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.993312,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.990865,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.992286,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.987503,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.977481,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.985803,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.988752,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.976185,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.982965,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.980974,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.988262,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.995877,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.995327,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.988735,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.989161,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.987249,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.999911,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,2.008211,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.982927,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.993863,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.981634,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,2.002625,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.995797,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.993324,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.995922,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.99438,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.984864,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.984085,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.986803,1570
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.323793,1.988727,1570
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.70816,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.715047,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.714078,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.700338,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.691055,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.707249,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.707525,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.719478,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.718715,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.753613,3245
GKO,cuda,BiCGStab,BiCGStab,none,50,1,3.119342,5.715361,3245
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.332986,20.655586,4918
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.332986,20.867216,4918
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.332986,20.638887,4918
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.332986,20.863909,4918
GKO,cuda,BiCGStab,BiCGStab,none,75,1,9.332986,20.73995,4918
GKO,cuda,BiCGStab,BiCGStab,none,100,1,20.997123,50.165398,6594
GKO,cuda,BiCGStab,BiCGStab,none,100,1,20.997123,50.064713,6594
GKO,cuda,BiCGStab,BiCGStab,none,100,1,20.997123,50.079408,6594
GKO,cuda,BiCGStab,BiCGStab,none,100,1,20.997123,50.210721,6594
GKO,cuda,BiCGStab,BiCGStab,none,100,1,20.997123,50.113919,6594
