backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.735915,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.736957,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.698298,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.694022,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.702113,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.695569,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.745356,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.750045,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.732463,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.716011,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.696204,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.700659,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.736149,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.746941,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.713649,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.743634,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.769461,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.751309,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.732472,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.731674,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.708672,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.746732,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.704232,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.719089,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.708875,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.733596,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.737683,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.716889,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.706071,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.733219,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.733217,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.715954,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.710121,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.706212,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.253652,1.709373,1681
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.336031,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.29213,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.324247,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.310585,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.301592,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.2918,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.300895,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.299953,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.327885,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.313733,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.281024,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,3.136649,5.282655,3445
GKO,cuda,CG,BiCGStab,BJ,75,1,8.972225,18.074111,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,8.972225,18.115279,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,8.972225,18.161203,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,8.972225,18.104439,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,8.972225,18.097335,5122
GKO,cuda,CG,BiCGStab,BJ,100,1,20.749566,43.532836,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,20.749566,43.631775,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,20.749566,43.977017,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,20.749566,43.586882,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,20.749566,43.555982,6980
