backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.789723,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.798136,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.79636,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.787834,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.790398,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.791478,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.799717,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.793028,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.793499,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.790053,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.785054,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.799489,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.784996,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.790784,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.789222,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.800057,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.788476,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.794105,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.790634,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.792036,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.785383,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.796834,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.787646,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.794088,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.793172,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.784443,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.802429,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.791242,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.790498,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.789594,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.786267,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.798291,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.795679,1865
GKO,cuda,CG,BiCGStab,BJ,25,1,1.293886,1.792594,1865
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.398769,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.398596,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.383213,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.381664,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.395318,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.406314,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.378506,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.380232,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.365993,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.385736,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.386186,3770
GKO,cuda,CG,BiCGStab,BJ,50,1,3.103672,5.41516,3770
GKO,cuda,CG,BiCGStab,BJ,75,1,8.964694,18.563883,5675
GKO,cuda,CG,BiCGStab,BJ,75,1,8.964694,18.557673,5675
GKO,cuda,CG,BiCGStab,BJ,75,1,8.964694,18.712234,5675
GKO,cuda,CG,BiCGStab,BJ,75,1,8.964694,18.554568,5675
GKO,cuda,CG,BiCGStab,BJ,75,1,8.964694,18.602167,5675
GKO,cuda,CG,BiCGStab,BJ,100,1,20.396273,44.76403,7550
GKO,cuda,CG,BiCGStab,BJ,100,1,20.396273,44.618962,7550
GKO,cuda,CG,BiCGStab,BJ,100,1,20.396273,45.017895,7550
GKO,cuda,CG,BiCGStab,BJ,100,1,20.396273,44.871636,7550
GKO,cuda,CG,BiCGStab,BJ,100,1,20.396273,44.681631,7550
