backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n483.localdomain\n', 'uptime': ' 22:39:22 up 4 days,  5:13,  0 users,  load average: 3.69, 13.25, 18.64\n'}}
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.710413,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.721744,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.780291,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.711189,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.778021,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.715895,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.712284,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.714924,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.714412,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.720254,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.775621,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.711902,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.702117,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.703899,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.71377,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.709398,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.771129,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.702193,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.723233,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.703812,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.707558,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.708197,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.77968,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.712347,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.710435,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.715868,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.725105,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.724887,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.716801,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.713759,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.715749,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.710321,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.712128,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.706885,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,320416eabb27b1ea31b176045ff56d19,1.227096,1.711842,1681
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.309002,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.338495,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.331109,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.401821,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.332019,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.329148,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,367073af515ec8a7f47c1fe95d2e5348,3.119239,5.338971,3445
