backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.764232,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.771264,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.767399,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.823173,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.761326,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.804443,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.781393,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.798961,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.807474,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.757115,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.76527,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.76553,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.775413,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.761639,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.757128,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.811322,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.81766,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.802499,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.772733,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.764548,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.762266,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.768691,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.762344,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.762166,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.76163,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.765668,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.797723,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.816557,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.762255,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.770874,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.761498,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.807918,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.771189,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.235037,1.80391,1931
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.318531,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.210358,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.188857,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.218068,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.244908,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.189713,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.23039,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.188271,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.330705,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.177404,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.240848,3872
GKO,cuda,CG,BiCGStab,none,50,1,3.152631,5.185923,3872
GKO,cuda,CG,BiCGStab,none,75,1,8.798876,17.987603,5739
GKO,cuda,CG,BiCGStab,none,75,1,8.798876,18.131111,5739
GKO,cuda,CG,BiCGStab,none,75,1,8.798876,17.792172,5739
GKO,cuda,CG,BiCGStab,none,75,1,8.798876,17.899668,5739
GKO,cuda,CG,BiCGStab,none,75,1,8.798876,17.925446,5739
GKO,cuda,CG,BiCGStab,none,100,1,20.228013,44.076859,7635
GKO,cuda,CG,BiCGStab,none,100,1,20.228013,44.232426,7635
GKO,cuda,CG,BiCGStab,none,100,1,20.228013,43.147765,7635
GKO,cuda,CG,BiCGStab,none,100,1,20.228013,42.931455,7635
GKO,cuda,CG,BiCGStab,none,100,1,20.228013,43.322497,7635
