backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.809707,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.807737,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.807511,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.811743,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.81138,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.81581,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.81984,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.809733,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.836793,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.812221,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.810364,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.809354,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.816627,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.803516,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.813907,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.805614,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.802936,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.808223,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.809272,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.812221,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.798611,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.807464,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.807447,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.812736,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.824193,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.811053,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.810515,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.800179,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.808244,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.801311,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.812687,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.809419,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.807265,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.284839,1.816859,1931
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.276418,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.234401,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.203288,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.235861,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.243996,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.220554,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.227107,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.228924,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.209777,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.215803,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.218932,3871
GKO,cuda,CG,BiCGStab,none,50,1,3.030843,5.232686,3871
GKO,cuda,CG,BiCGStab,none,75,1,8.673938,17.874162,5736
GKO,cuda,CG,BiCGStab,none,75,1,8.673938,17.853081,5736
GKO,cuda,CG,BiCGStab,none,75,1,8.673938,17.742615,5736
GKO,cuda,CG,BiCGStab,none,75,1,8.673938,17.747583,5736
GKO,cuda,CG,BiCGStab,none,75,1,8.673938,17.681412,5736
GKO,cuda,CG,BiCGStab,none,100,1,19.719187,42.778359,7631
GKO,cuda,CG,BiCGStab,none,100,1,19.719187,42.618445,7631
GKO,cuda,CG,BiCGStab,none,100,1,19.719187,42.798282,7631
GKO,cuda,CG,BiCGStab,none,100,1,19.719187,42.786618,7631
GKO,cuda,CG,BiCGStab,none,100,1,19.719187,42.964074,7631
