backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n485.localdomain\n', 'uptime': ' 22:31:11 up 226 days, 10:32,  0 users,  load average: 1.86, 1.99, 1.99\n'}}
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.920071,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.924963,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.912444,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.943531,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.767555,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.764451,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.961179,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.921005,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.916554,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.918606,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.91892,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.945715,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.768661,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.753602,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.937512,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.91873,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.763631,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.93889,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.771427,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.948621,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.763563,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.93862,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.929993,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.932197,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.946972,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.917311,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.846578,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.820975,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.893677,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.836525,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.916578,1931
GKO,cuda,CG,BiCGStab,none,25,1,300adbb7e9aea58522ab183714e89f8d,1.419222,1.88213,1931
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.361349,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.179327,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.10213,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.098266,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.312531,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.30861,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.111865,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.118152,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.212051,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.11848,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.322827,3871
GKO,cuda,CG,BiCGStab,none,50,1,8d1105df27b5568231e274d845431ac7,3.163579,5.115882,3871
GKO,cuda,CG,BiCGStab,none,75,1,30e7a0cbf42d4cd7b0d1f51a7a392d96,8.552786,17.548175,5736
GKO,cuda,CG,BiCGStab,none,75,1,30e7a0cbf42d4cd7b0d1f51a7a392d96,8.552786,18.026174,5736
GKO,cuda,CG,BiCGStab,none,75,1,30e7a0cbf42d4cd7b0d1f51a7a392d96,8.552786,18.077202,5736
GKO,cuda,CG,BiCGStab,none,75,1,30e7a0cbf42d4cd7b0d1f51a7a392d96,8.552786,17.843646,5736
GKO,cuda,CG,BiCGStab,none,75,1,30e7a0cbf42d4cd7b0d1f51a7a392d96,8.552786,18.030124,5736
GKO,cuda,CG,BiCGStab,none,100,1,b8c1c675312c4177dd123dcd2fa40f3e,19.313226,42.834102,7631
GKO,cuda,CG,BiCGStab,none,100,1,b8c1c675312c4177dd123dcd2fa40f3e,19.313226,44.815136,7631
GKO,cuda,CG,BiCGStab,none,100,1,b8c1c675312c4177dd123dcd2fa40f3e,19.313226,44.034267,7631
GKO,cuda,CG,BiCGStab,none,100,1,b8c1c675312c4177dd123dcd2fa40f3e,19.313226,44.470166,7631
GKO,cuda,CG,BiCGStab,none,100,1,b8c1c675312c4177dd123dcd2fa40f3e,19.313226,44.459935,7631
