executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,processes,node,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n481.localdomain\n', 'top': ['top - 21:34:17 up 19 days,  4:08,  0 users,  load average: 1.91, 2.63, 3.11', 'Tasks: 1102 total,   2 running, 1100 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  1.0 sy,  0.0 ni, 97.7 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 342542.2 free,  35397.1 used,   8683.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 349103.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '4071253 qb1268    20   0   34.9g 814560 109916 R  94.1   0.2 319:20.39 jdftx_g+', ' 500127 co5962    20   0   58.8g  15.5g 120176 S  58.8   4.1   1478:32 python', '  90758 nq7776    20   0   56792   5328   3612 R   5.9   0.0   0:00.02 top', '      1 root      20   0  243244  11808   8396 S   0.0   0.0   0:11.60 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.85 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 21:34:17 up 19 days,  4:08,  0 users,  load average: 1.91, 2.63, 3.11\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.0', 'OBR_VERSION': '0.2.0'}
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.077481,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.078508,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.079057,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.075901,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.07449,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.076765,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.073123,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.076604,250,2.0,0.0
cuda,BJ,GKOCG,cuda,none,PBiCGStab,5,1,uc2n481.localdomain,5b6c01687f28f27804057a7da374debb,1.041844,1.078279,250,2.0,0.0
