executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,processes,node,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n409.localdomain\n', 'top': ['top - 01:01:39 up 271 days,  8:55,  0 users,  load average: 6.12, 16.15, 19.21', 'Tasks: 1109 total,   2 running, 1107 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.1 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  69774.2 free,   9454.0 used,  17090.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  85965.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1630704 st_st14+  20   0 6121692   4.8g   4140 R 100.0   5.1   3243:14 ed', '2283718 nq7776    20   0   56768   5288   3568 R  12.5   0.0   0:00.03 top', '      1 root      20   0  243176  11660   8332 S   0.0   0.0   3:38.53 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:54.99 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 01:01:39 up 271 days,  8:55,  0 users,  load average: 6.12, 16.15, 19.21\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.0', 'OBR_VERSION': '0.2.0'}
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204395,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.208756,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.208298,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.207223,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.207727,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.207287,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.203282,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.205797,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.206359,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.205679,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.205929,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.205993,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.20349,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204952,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204523,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204793,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204764,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.204847,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.203818,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.209297,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.205568,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,1,uc2n409.localdomain,da3dbad18d971e0dd7e10d82e9dd61b2,0.195227,0.206106,239,0.0,1.0
