executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,processes,node,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n550.localdomain\n', 'top': ['top - 01:25:39 up 267 days,  9:05,  0 users,  load average: 8.60, 17.95, 20.39', 'Tasks: 1124 total,   3 running, 1121 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  2.6 us,  0.1 sy,  0.0 ni, 97.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 193086.6 total, 156774.4 free,  22413.3 used,  13898.9 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 166077.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 895446 uglkv     20   0  907532 419160  12196 R 100.0   0.2 233:22.73 KiT-RT', ' 929070 rt8452    20   0   19.7g  17.2g   8300 R 100.0   9.1 132:25.09 python', '1011089 nq7776    20   0   56768   5236   3516 R   6.2   0.0   0:00.02 top', '      1 root      20   0  243200  11556   8204 S   0.0   0.0   2:24.10 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   2:43.37 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 01:25:39 up 267 days,  9:05,  0 users,  load average: 8.60, 17.95, 20.39\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.0', 'OBR_VERSION': '0.2.0'}
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.219775,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.212143,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.22211,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.217123,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.212438,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.204008,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.20498,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.207015,239,0.0,1.0
omp,none,GKOCG,cuda,none,PBiCGStab,5,4,uc2n550.localdomain,f0080d3b44fb3b909872ddcee5cf09d3,0.199362,0.205849,239,0.0,1.0
