executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,processes,node,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n476.localdomain\n', 'top': ['top - 01:39:00 up 267 days, 12:17,  0 users,  load average: 3.78, 3.94, 3.99', 'Tasks: 1131 total,   4 running, 1127 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  3.5 us,  0.5 sy,  0.0 ni, 96.0 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 193086.6 total, 164948.5 free,  15611.1 used,  12527.0 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 175281.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1849847 ca9551    20   0 6279192   2.6g  19208 R 100.0   1.4 540:27.19 python3', '1849849 ca9551    20   0 7121592   3.5g  19248 R 100.0   1.8 540:27.20 python3', '1849848 ca9551    20   0 7294248   3.6g  19448 R  94.1   1.9 540:29.10 python3', '1913662 nq7776    20   0   56768   5264   3540 R  11.8   0.0   0:00.03 top', '      1 root      20   0   95588  11660   8412 S   0.0   0.0   2:21.52 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:09.90 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+'], 'uptime': ' 01:39:00 up 267 days, 12:17,  0 users,  load average: 3.78, 3.94, 3.99\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.0', 'OBR_VERSION': '0.2.0'}
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.199547,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.197774,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.200471,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.205674,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.203363,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.204273,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.200029,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.200532,158,0.0,0.0
reference,DIC,PCG,cuda,none,PBiCGStab,5,1,uc2n476.localdomain,8e031ffe0d01f24563772872b2bf9b57,0.196874,0.198031,158,0.0,0.0
