backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 17:53:46 up 12 days, 23:03,  2 users,  load average: 0.00, 0.00, 0.24\n'}}
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.633997,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.574028,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580426,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585327,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581462,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.575513,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.57614,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576157,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581898,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577521,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578643,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585661,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.58284,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581666,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577158,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576427,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579797,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577393,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576332,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.589181,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580922,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576549,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580805,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576389,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579157,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585302,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578943,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.590544,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.582914,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.776267,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580637,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.583463,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.584475,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.583987,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577534,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578895,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.587377,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581944,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578093,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580879,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.588845,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576477,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578712,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.57713,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578364,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581334,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.584966,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.582269,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579832,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576722,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.57017,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.582983,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578861,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.584854,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.575963,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577822,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.587495,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.589419,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577478,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579868,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576901,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577204,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.583387,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.586401,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579871,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580086,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576074,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.582666,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580265,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.586886,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581601,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585848,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.58203,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585882,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.584363,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.587942,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577484,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.583354,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.586653,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580564,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577073,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.588013,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580387,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.58616,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.586347,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578641,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.585716,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.583619,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577379,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.575562,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.580084,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581532,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.581009,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.584189,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.57641,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577471,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.578585,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.576753,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.574384,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.577394,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.575212,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.579097,1664,30.0,10.0
OF,reference,CG,none,25,1,ea1c18ca8026a31f551e8d9a44f31841,0.26828,0.586786,1664,30.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.761942,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.762764,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.763673,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.775284,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.760347,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.767689,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.762832,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.76774,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.756786,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.763193,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.765624,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.764613,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.768013,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.762852,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.761413,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.764785,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.762041,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.767805,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.76183,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.769012,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.757456,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.768034,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.76419,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.7689,1348,48.0,10.0
OF,reference,BiCGStab,none,25,1,0c4be18f270830fe36c9a37e8a7ce6db,0.305058,0.763968,1348,48.0,10.0
