backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'uptime': ' 17:55:25 up 13 days,  6:34,  1 user,  load average: 0.05, 0.02, 0.00\n'}}
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565641,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.582042,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.569368,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.567929,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565295,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.568642,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.56715,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.567386,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.574187,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564019,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.567131,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.574526,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.570797,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565166,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565733,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.571479,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.566763,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564887,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564245,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.56747,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.56642,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.563978,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.571519,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.576457,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564398,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.568965,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565691,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565064,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.575602,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.566343,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.566668,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565875,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564762,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565928,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.578381,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565743,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.570765,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.565643,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.574919,1664,30.0,10.0
OF,mpi,CG,none,25,1,3ac96e350440bf2b87dee410c54d58d3,0.256198,0.564641,1664,30.0,10.0
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'uptime': ' 17:56:25 up 13 days,  6:35,  1 user,  load average: 0.21, 0.09, 0.03\n'}}
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'uptime': ' 17:56:33 up 13 days,  6:35,  1 user,  load average: 0.18, 0.09, 0.03\n'}}
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.566197,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.570158,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.566966,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.574356,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.568837,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.569859,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.568025,1664,30.0,10.0
