backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 06:43:58 up 13 days, 11:54,  2 users,  load average: 0.00, 0.00, 0.00\n'}}
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 06:44:25 up 13 days, 11:54,  2 users,  load average: 0.00, 0.00, 0.00\n'}}
GKO,hip,CG,none,10,1,0300bc53b4bd1b0e4bdcf80c0caaf179,0.610053,0.698518,611,10.0,0.0
GKO,hip,BiCGStab,none,10,1,185e9cbbf5272e85ef82b7b601f913cf,0.635025,0.761765,491,15.0,0.0
GKO,hip,CG,none,20,1,8842c6c3a76aaeee70008c4d80d52229,0.732999,1.19378,1312,25.0,5.0
GKO,hip,BiCGStab,none,20,1,2904eed2ff04a5dc4c3f3451ffc683d9,0.766122,1.0928,1040,37.0,5.0
GKO,hip,CG,none,30,1,d146984d917cdc77f2f2119efb2545c5,1.040781,1.453996,2016,36.0,17.0
GKO,hip,BiCGStab,none,30,1,d7699cbc3263567e3aa7aef03fcabfff,1.106383,1.677926,1637,59.0,18.0
GKO,hip,CG,none,40,1,3e13c438cf5b1f5116f181246941c6c5,1.625211,2.34897,2722,54.0,43.0
GKO,hip,BiCGStab,none,40,1,8f98430fb765e7ac1330e3ed0df16831,1.683772,2.653331,2117,85.0,43.0
GKO,hip,CG,none,50,1,a51aa52f5ac604fe1dabecf054649faf,2.625846,3.82095,3442,76.0,91.0
GKO,hip,BiCGStab,none,50,1,28e9f9c16ca4bf9acdfefe50739f2adc,2.698366,4.218157,2794,120.0,92.0
GKO,hip,CG,none,60,1,d1cf4133b9812491b50926f2a33508b2,4.140753,5.932102,4157,105.0,165.0
GKO,hip,BiCGStab,none,60,1,8a07bbc3490e21176ad6fbf8cfb6eebf,4.220824,6.616976,3300,179.0,161.0
GKO,hip,CG,none,70,1,7a401e49a3a565d8edc90b77467990e0,6.450923,9.555543,4888,178.0,263.0
GKO,hip,BiCGStab,none,70,1,2163b28dbff7dca4ba53d53fe144cd14,7.819655,11.156545,4039,329.0,268.0
GKO,hip,CG,none,80,1,ed3b69ec690033fcd4852d704fe3e9dc,9.903431,13.84422,5408,250.0,402.0
GKO,hip,BiCGStab,none,80,1,163da3acf43ef25221640fb8794e8e8d,9.553935,16.159058,4579,369.0,399.0
GKO,hip,CG,none,90,1,3d34ed9ee44accead9491cc7487dd2ea,13.324986,19.754129,6337,359.0,582.0
GKO,hip,BiCGStab,none,90,1,001f387100be5d6e1d084452a9982b50,13.540243,21.816467,4968,574.0,577.0
GKO,hip,CG,none,100,1,aa210850d6e16799cca801d8f0ff2567,17.611803,27.161754,7075,515.0,811.0
GKO,hip,BiCGStab,none,100,1,5f8db4935f53b0768dd33832af194bac,18.30717,29.730368,5995,698.0,814.0
