backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n361.localdomain\n', 'uptime': ' 12:28:55 up 85 days,  2:37,  0 users,  load average: 0.65, 0.26, 1.12\n'}}
OF,reference,CG,none,10,1,bc73fa06c8aa761f96bd1e9c014d84f1,0.116754,0.126031,610,0.0,0.0
OF,reference,BiCGStab,none,10,1,f15a42630bc7ac1896dc430eec442d28,0.117681,0.134917,500,1.0,0.0
OF,reference,CG,none,20,1,45bcca0181fc5f659e2db5994e16470d,0.169214,0.279833,1317,10.0,2.0
OF,reference,BiCGStab,none,20,1,e9b2ed6111fd1b61662d327b308a339b,0.184017,0.344102,1062,17.0,2.0
OF,reference,CG,none,30,1,754e410ea955219e8d17de922147a05a,0.357029,0.933824,2023,58.0,11.0
OF,reference,BiCGStab,none,30,1,1922fc8f1e5a904853d8c8f972cf7220,0.442537,1.346794,1652,101.0,10.0
OF,reference,CG,none,40,1,73b82dbacb9ae54c15c1ca9c68d28fe6,0.876476,3.022632,2720,234.0,27.0
OF,reference,BiCGStab,none,40,1,248120517c9a35d2b089650b3b50d3aa,1.182847,4.434416,2233,377.0,27.0
OF,reference,CG,none,50,1,285e42995117b62d9622f1cf3ee22a27,1.838449,6.928785,3424,558.0,59.0
OF,reference,BiCGStab,none,50,1,7fa1d1323dc94c4f264bd0d8e34b5f12,2.618819,11.105901,2832,1012.0,57.0
OF,reference,CG,none,60,1,7c37e9d16ce50d707b5be918788bbd39,3.695144,14.235492,4002,1225.0,115.0
OF,reference,BiCGStab,none,60,1,b4a43bd9d75878b513c7de35f92a4c34,5.633347,23.745101,3236,2236.0,108.0
OF,reference,CG,none,70,1,efe2481a90a39759b6a0ff5fbfd31fdd,6.645801,27.699715,4844,2413.0,189.0
OF,reference,BiCGStab,none,70,1,5f84a46901cd51846cd18cc3edc8a285,10.180068,45.428689,3954,4470.0,184.0
OF,reference,CG,none,80,1,8a85bef4dcd292c6928cd3b7fd7e0374,11.584603,50.639237,5555,4635.0,288.0
OF,reference,BiCGStab,none,80,1,337a157f88bf696005361ba6b49bfa99,18.199329,83.183189,4660,7862.0,286.0
OF,reference,CG,none,90,1,59204c420a96c7556b25d03aca194eef,18.439214,79.450409,6269,7209.0,409.0
OF,reference,BiCGStab,none,90,1,704b41b3036ec08d8960ee409c1fbf8d,28.019312,120.206227,4631,7557.0,411.0
OF,reference,CG,none,100,1,bde2564051f04baf8c8ff17650d5fb09,27.620669,122.659803,6987,11244.0,569.0
OF,reference,BiCGStab,none,100,1,74fd6ce38c073d981e946dfc97ca6e46,42.753593,205.416042,5880,18503.0,569.0
