backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n361.localdomain\n', 'uptime': ' 12:58:28 up 85 days,  3:06,  0 users,  load average: 0.04, 0.27, 0.62\n'}}
OF,mpi,CG,none,10,1,8e56dad4b5ed869a91e9995748e4abfb,3.511385,3.562228,597,2.0,1.0
OF,mpi,BiCGStab,none,10,1,5b8831fdb5459bf8553548917933fc1d,3.5135,3.584656,470,3.0,1.0
OF,mpi,CG,none,20,1,12ca0acd75078defd86cc012a10fa5cc,3.592529,3.644866,1305,6.0,1.0
OF,mpi,BiCGStab,none,20,1,31c533d8628aca8952aeae7cf9f335a6,3.553116,3.66282,1064,9.0,1.0
OF,mpi,CG,none,30,1,683b8f0aaca6a92b99a064c0d35780ff,3.568956,3.677233,1949,13.0,2.0
OF,mpi,BiCGStab,none,30,1,bbf9b841ebfc860f3d317827d2bce35c,3.615035,3.788902,1542,20.0,2.0
OF,mpi,CG,none,40,1,489d08b043fb4026be790d7bd70ceb86,3.667434,3.795636,2611,25.0,3.0
OF,mpi,BiCGStab,none,40,1,c3db78172e90ebc0f5da3c0838ebd2f2,3.663374,4.050751,1970,39.0,3.0
OF,mpi,CG,none,50,1,67651a2b88941058493f1f19157baa23,3.764425,4.161313,3279,50.0,6.0
OF,mpi,BiCGStab,none,50,1,c82f839861ea238e22e6a6a06532a55d,3.775728,4.545295,2638,88.0,6.0
OF,mpi,CG,none,60,1,62ae317d2133e968e26e3963e3f2cff5,3.884153,4.841978,3999,100.0,11.0
OF,mpi,BiCGStab,none,60,1,3674459bdd2513788f2c7952796f4f53,4.039495,5.77177,3195,270.0,11.0
OF,mpi,CG,none,70,1,f447d85e1c9b827d5628332c2eb994d1,4.086695,6.083955,4699,267.0,63.0
OF,mpi,BiCGStab,none,70,1,cef84bcf95187f972ceafae22dd8421a,4.555274,8.285988,3706,420.0,36.0
OF,mpi,CG,none,80,1,6df08d64b6af55a502ba31125671d4fc,4.565951,8.352408,5372,396.0,81.0
OF,mpi,BiCGStab,none,80,1,a0d4e085e6a2748896368af6c68cb86a,6.140683,14.051338,4151,925.0,43.0
OF,mpi,CG,none,90,1,0f577362612394ecac6373b2c2f00ead,5.892147,12.753335,6045,740.0,70.0
OF,mpi,BiCGStab,none,90,1,89494d5f9ed5773ce9a22ca72f089023,8.135831,22.691313,4505,1158.0,71.0
OF,mpi,CG,none,100,1,627f31b2a86f819c6e230c2bfc15d18e,7.246784,18.966629,6715,1358.0,110.0
OF,mpi,BiCGStab,none,100,1,6fe1394304549945f1642cc4ae5a84ac,11.063847,36.866396,5262,3082.0,102.0
