backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n520.localdomain\n', 'uptime': ' 13:02:56 up 234 days, 22 min,  0 users,  load average: 0.20, 0.09, 0.04\n'}}
GKO,cuda,CG,none,10,1,5e4ae735bea65510be16aecac71fa01e,0.995001,1.101524,609,11.0,0.0
GKO,cuda,BiCGStab,none,10,1,d20b85a80e0a81e39034d0492ef9e87e,0.997062,1.13621,495,16.0,0.0
GKO,cuda,CG,none,20,1,9d1cda7a97a71ceb80bed89fe6844e52,1.101541,1.301222,1315,22.0,2.0
GKO,cuda,BiCGStab,none,20,1,36f791888615b52b62707e1b09125a3e,1.144877,1.443762,1042,35.0,2.0
GKO,cuda,CG,none,30,1,1ab08d341c8914a4d6efc09e8305532e,1.366914,1.75802,2022,36.0,9.0
GKO,cuda,BiCGStab,none,30,1,5bbf5b6acc3c89b6dd5b6914c3dde02f,1.412017,2.128924,1645,64.0,10.0
GKO,cuda,CG,none,40,1,65be0bc4f8d78d923b9cbb9787d14991,2.031118,2.697961,2719,51.0,29.0
GKO,cuda,BiCGStab,none,40,1,2b1c026cfb99e2d37bbf7b455e5873ad,2.063727,2.815594,2222,77.0,27.0
GKO,cuda,CG,none,50,1,0639e75850ff94bbc2095b97c8823bb1,2.769129,3.852922,3424,72.0,60.0
GKO,cuda,BiCGStab,none,50,1,6c8165aad95fa459490f9f6f2472cd58,2.833157,4.342965,2807,121.0,58.0
GKO,cuda,CG,none,60,1,a4e9e7b73b93aaa59aea3c220418bc11,4.587841,7.894378,4001,310.0,108.0
GKO,cuda,BiCGStab,none,60,1,7121232d1a770f7558dd611b89f4d376,4.854861,9.553147,3389,473.0,111.0
GKO,cuda,CG,none,70,1,5d00435c352cc0abf278234c06e8cd88,6.836118,12.23,4844,486.0,184.0
GKO,cuda,BiCGStab,none,70,1,614b3ea0f534fc162e816ed3a770bbab,7.353826,15.460666,3988,850.0,181.0
GKO,cuda,CG,none,80,1,7ab64061a6464158bef2edf342b56c3f,9.566417,17.846093,5555,737.0,279.0
GKO,cuda,BiCGStab,none,80,1,c2d5c40017c74c0455d8b08e6fe1e1de,10.662255,22.615174,4574,1124.0,283.0
GKO,cuda,CG,none,90,1,7f9fce831769e4959082ae52989e6cb1,13.722943,25.351821,6269,972.0,394.0
GKO,cuda,BiCGStab,none,90,1,e64738992903375bcbab4a9ad89ef87a,14.983887,31.90139,5093,1642.0,406.0
GKO,cuda,CG,none,100,1,1615f9d23a29f24f27fcca66c128b5c7,18.402602,34.912618,6987,1457.0,569.0
GKO,cuda,BiCGStab,none,100,1,9d9ee92506788b53974fe4adc42604cb,20.411774,42.904434,5763,1901.0,556.0
