executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n519.localdomain\n', 'top': ['top - 00:43:36 up 2 days, 0 min,  0 users,  load average: 19.54, 21.74, 21.31', 'Tasks: 1059 total,  13 running, 1046 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 13.6 us,  4.7 sy,  0.0 ni, 81.5 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem : 386622.4 total, 342384.8 free,  20015.1 used,  24222.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 360404.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1592639 hd_ei260  20   0   31.7g   2.9g  82816 R 162.5   0.8   6:01.82 python', '1589602 hd_ei260  20   0   31.7g   2.8g  82764 R 150.0   0.8   5:51.98 python', '1589605 hd_ei260  20   0   31.3g   2.6g  82788 R 125.0   0.7   5:45.12 python', '1589599 hd_ei260  20   0   31.4g   2.6g  82772 R 112.5   0.7   5:54.66 python', '1589597 hd_ei260  20   0   31.7g   2.9g  82780 R 106.2   0.8   5:54.66 python', '1589601 hd_ei260  20   0   31.3g   2.5g  82756 R 106.2   0.7   5:48.02 python', '1589603 hd_ei260  20   0   31.3g   2.5g  82764 R 106.2   0.7   5:21.00 python', '1589598 hd_ei260  20   0   31.8g   3.0g  82736 R 100.0   0.8   6:14.05 python'], 'uptime': ' 00:43:36 up 2 days, 0 min,  0 users,  load average: 19.54, 21.74, 21.31\n', 'date': 'Mon Aug  2 00:43:36 CEST 2021\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n519.localdomain,6454df1a321a2c3c6fb0065d2c088746,1.033749,1.071486,205.0,125.0,175.0,858400.0,1082.0,897263.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,5,1,0,uc2n519.localdomain,6fd3393c1aa1ce58b7f320d4e452fdfc,1.042774,1.092552,162.0,125.0,166.0,861873.0,1122.0,917214.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n519.localdomain,d510cb35bafcb207a2f245135b37ee7a,1.012834,1.071399,281.0,125.0,152.0,852068.0,1003.0,900238.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,5,1,0,uc2n519.localdomain,7feac6a02beca560a9a83f5bdc8fdbca,0.975879,1.03536,25.0,125.0,152.0,797807.0,1057.0,865603.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n519.localdomain,e4d4abd83c4870b99a5f265ff98e2dae,0.969331,1.010504,103.0,125.0,165.0,800194.0,1044.0,838546.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,15,1,0,uc2n519.localdomain,99c1fa33cc51839cc0035d4212217d48,1.026865,1.250927,1037.0,125.0,1556.0,855581.0,17884.0,1024523.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,15,1,0,uc2n519.localdomain,63c399585ce8379017cd846324ee24ad,1.038032,1.341081,830.0,125.0,1464.0,875992.0,18474.0,1113097.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,15,1,0,uc2n519.localdomain,516aaadaffc3f1e1b346488341fcba75,1.047104,1.31337,1296.0,125.0,1463.0,866998.0,18789.0,1081934.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,15,1,0,uc2n519.localdomain,7d4dbce8350f374937e0804df9c99642,1.040406,1.335,33.0,125.0,1462.0,856716.0,18352.0,1107946.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,15,1,0,uc2n519.localdomain,be089eda341fbe398a49eb456470f8a0,1.053532,1.339811,644.0,125.0,1546.0,896532.0,19266.0,1103972.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,90,1,0,uc2n519.localdomain,320d506b4268da5423df9f33f0db53b0,15.893449,48.591032,8428.0,125.0,389126.0,11217620.0,6929473.0,30477882.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,90,1,0,uc2n519.localdomain,a5f512c42ad345770c27b6553f735a30,16.348248,100.92443,28062.0,125.0,386313.0,10913254.0,6613431.0,72537315.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,90,1,0,uc2n519.localdomain,e914834f527b4b1afc72f707e7e47cde,15.172838,48.269816,9253.0,125.0,409526.0,11421912.0,6589127.0,29952556.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,90,1,0,uc2n519.localdomain,fabeb1c89569e765b20c1dacb2cb3539,14.781363,44.411913,52.0,125.0,390802.0,10757329.0,6639433.0,26977815.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,90,1,0,uc2n519.localdomain,b82317ce6e1f103f119b2b6570aef588,16.771583,98.523434,22743.0,125.0,400650.0,11918610.0,6563918.0,68840020.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,75,1,0,uc2n519.localdomain,5e88982a7692bac48c273a0f58ecc2cf,8.965587,27.268344,6636.0,125.0,222171.0,6782403.0,3807127.0,17315652.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,75,1,0,uc2n519.localdomain,487379f8bece3c9dbd52a406e283d5b9,8.893968,50.933562,16630.0,125.0,225030.0,6882968.0,3677443.0,33575571.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,75,1,0,uc2n519.localdomain,00dcd42e0adb01ef84ec9e8f819a38aa,9.535479,27.206086,8104.0,125.0,223211.0,6857889.0,3710449.0,17293411.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,75,1,0,uc2n519.localdomain,a30ecae359cc6a98b4daf9474c9d4e14,9.104386,24.46977,47.0,125.0,216329.0,6141057.0,3694130.0,14646155.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,75,1,0,uc2n519.localdomain,d2f8ea859d3a994f16ddb48b195d62c3,9.709948,37.916547,5434.0,125.0,228362.0,7178465.0,3711254.0,19702105.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,40,1,0,uc2n519.localdomain,e034ab28b0997a0340f3d22f574c11cd,2.135003,4.475043,2978.0,125.0,29923.0,1632394.0,475823.0,2981257.0
