executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n412.localdomain\n', 'top': ['top - 08:40:36 up 16:51,  0 users,  load average: 0.59, 0.16, 0.05', 'Tasks: 990 total,   1 running, 989 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.9 us,  0.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  92579.8 free,   2807.6 used,    931.2 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  92753.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 195814 nq7776    20   0  365528  75720  18980 S  25.0   0.1   0:02.71 python', ' 200602 nq7776    20   0   56644   5292   3568 R   6.2   0.0   0:00.02 top', '      1 root      20   0  244764  11220   8176 S   0.0   0.0   0:04.23 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.65 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 08:40:36 up 16:51,  0 users,  load average: 0.59, 0.16, 0.05\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.106881,281.0,125.0,135.0,4969.0,959.0,17734.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.099702,281.0,125.0,134.0,5250.0,907.0,17246.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.099978,281.0,125.0,132.0,4745.0,916.0,16818.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.105736,281.0,125.0,129.0,4681.0,951.0,17091.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.100556,281.0,125.0,131.0,4955.0,958.0,17784.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.096468,281.0,125.0,143.0,4671.0,924.0,16675.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.099117,281.0,125.0,139.0,4715.0,943.0,16750.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.099199,281.0,125.0,131.0,4691.0,915.0,16683.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n412.localdomain,88d13f25ed0ab8647dec4f8ef37500ef,0.091123,0.099872,281.0,125.0,138.0,4877.0,932.0,17324.0
