executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n471.localdomain\n', 'top': ['top - 22:07:48 up 272 days, 11:37,  0 users,  load average: 1.82, 9.32, 15.65', 'Tasks: 1069 total,   2 running, 1067 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.1 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 193086.6 total, 174656.5 free,  11007.1 used,   7423.0 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 180519.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2579615 rt8452    20   0 8758400   5.9g   7320 R  94.1   3.1 103:31.49 python', '2652803 nq7776    20   0   56636   5284   3560 R  11.8   0.0   0:00.03 top', '      1 root      20   0  243196  11852   8496 S   0.0   0.0   3:11.78 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:39.92 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 22:07:48 up 272 days, 11:37,  0 users,  load average: 1.82, 9.32, 15.65\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.2', 'OBR_VERSION': '0.2.0'}
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.108346,252.0,125.0,994.0,21797.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.097789,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.120816,252.0,125.0,1013.0,24241.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.122171,252.0,125.0,940.0,22169.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.11989,252.0,125.0,970.0,21452.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.12256,252.0,125.0,981.0,21403.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.124771,252.0,125.0,988.0,21395.0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.104809,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.100636,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.103687,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106378,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.104733,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106345,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.104833,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.104478,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106887,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.105471,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.108463,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.10631,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.107687,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106864,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.105846,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.102976,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.100926,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.105262,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.105391,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106445,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.106255,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.103148,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.102751,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.104538,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.102922,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.10286,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.105874,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.099228,252.0,125.0,0,0
omp,GKOCG,none,Serial,PBiCGStab,DILU,5,8,0,uc2n471.localdomain,e5d35ebe0e9930a67b909315e2e2a22e,0.083821,0.098493,252.0,125.0,0,0
