executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'uc2n420.localdomain\n', 'top': ['top - 22:38:40 up 262 days, 14:58,  0 users,  load average: 23.39, 23.46, 24.02', 'Tasks: 1219 total,  24 running, 1195 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 28.8 us,  0.1 sy,  0.0 ni, 71.0 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  74160.2 free,  11493.5 used,  10665.0 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  83881.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 869784 ek2540    20   0 1051288 169224   9764 R 100.0   0.2 308:28.52 Wolfram+', ' 873531 kn6273    20   0 2840292 298600  95700 R 100.0   0.3 298:31.60 python3', ' 911938 st_st16+  20   0   22760   4116   3428 R 100.0   0.0 202:48.42 MolSim', ' 911942 st_st16+  20   0   22784   4304   3568 R 100.0   0.0 202:49.38 MolSim', ' 911943 st_st16+  20   0   22916   4352   3536 R 100.0   0.0 202:48.91 MolSim', ' 911944 st_st16+  20   0   22832   4080   3288 R 100.0   0.0 202:48.96 MolSim', ' 914765 st_st16+  20   0   22568   4176   3656 R 100.0   0.0 202:24.44 MolSim', ' 607364 uglkv     20   0 2073968   1.5g  11680 R  94.1   1.6   1320:25 KiT-RT'], 'uptime': ' 22:38:40 up 262 days, 14:58,  0 users,  load average: 23.39, 23.46, 24.02\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.2', 'OBR_VERSION': '0.2.0'}
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084744,95.0,125.0,951.0,553.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08393,95.0,125.0,986.0,586.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085372,95.0,125.0,958.0,554.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.088245,95.0,125.0,1145.0,669.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.092587,95.0,125.0,1078.0,612.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.091158,95.0,125.0,1096.0,622.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.089333,95.0,125.0,1047.0,591.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086869,95.0,125.0,1088.0,602.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.090498,95.0,125.0,1077.0,639.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.090527,95.0,125.0,1080.0,622.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085898,95.0,125.0,1011.0,568.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085127,95.0,125.0,948.0,555.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086274,95.0,125.0,1105.0,660.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.092067,95.0,125.0,1058.0,616.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.090557,95.0,125.0,945.0,542.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08873,95.0,125.0,970.0,544.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.090931,95.0,125.0,948.0,554.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086078,95.0,125.0,980.0,550.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.083907,95.0,125.0,971.0,563.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084215,95.0,125.0,956.0,543.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08415,95.0,125.0,996.0,598.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085686,95.0,125.0,1048.0,601.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.083863,95.0,125.0,983.0,554.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.083606,95.0,125.0,1008.0,554.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08477,95.0,125.0,941.0,556.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085218,95.0,125.0,959.0,551.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.093016,95.0,125.0,1071.0,616.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.089953,95.0,125.0,970.0,548.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086749,95.0,125.0,950.0,554.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085221,95.0,125.0,954.0,550.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.091868,95.0,125.0,1063.0,612.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.089727,95.0,125.0,991.0,585.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085107,95.0,125.0,940.0,551.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08497,95.0,125.0,945.0,559.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085443,95.0,125.0,986.0,562.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.091367,95.0,125.0,1254.0,673.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.087919,95.0,125.0,1068.0,633.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.09155,95.0,125.0,1186.0,670.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.092006,95.0,125.0,1157.0,648.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085657,95.0,125.0,993.0,563.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.089707,95.0,125.0,1072.0,620.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.091282,95.0,125.0,1063.0,604.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08522,95.0,125.0,997.0,570.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086886,95.0,125.0,1072.0,614.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084606,95.0,125.0,945.0,558.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084425,95.0,125.0,987.0,552.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084964,95.0,125.0,1137.0,638.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.094821,95.0,125.0,1167.0,682.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.0899,95.0,125.0,977.0,553.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084696,95.0,125.0,956.0,548.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.08489,95.0,125.0,992.0,540.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.097278,95.0,125.0,984.0,574.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084265,95.0,125.0,986.0,565.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085914,95.0,125.0,976.0,574.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.085716,95.0,125.0,1024.0,588.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.084804,95.0,125.0,945.0,558.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086475,95.0,125.0,1047.0,606.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.086141,95.0,125.0,1175.0,639.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n420.localdomain,f8a65289ee8a2438d22dac67c0262e57,0.089545,0.090723,95.0,125.0,1101.0,615.0
