executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 's001-n159\n', 'top': ['top - 05:44:16 up 40 days, 12:39,  0 users,  load average: 1.00, 1.01, 1.00', 'Tasks:   3 total,   1 running,   2 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  64125.7 total,  62397.5 free,    531.9 used,   1196.2 buff/cache', 'MiB Swap:   1952.0 total,   1745.4 free,    206.6 used.  62918.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3276603 u88882    20   0   15224   8884   3604 S   0.0   0.0   0:00.60 bash', '3278370 u88882    20   0  416348 104552  39380 S   0.0   0.2   0:00.50 python3', '3278374 u88882    20   0   12388   3328   2992 R   0.0   0.0   0:00.00 top', ''], 'uptime': ' 05:44:16 up 40 days, 12:39,  0 users,  load average: 1.00, 1.01, 1.00\n', 'libOGL.so': '1148bb1117fd81809b5640df7d507642  /home/u88882/OpenFOAM/u88882-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,7fa3099decc2b1c74bd9e28e49bbafe5,1.886533,13.843055,2202.0,135.0,38384.0,1439480.0,314839.0,11600148.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,ec1e2562d5e4e0fc1335a9c51e56b46b,1.871319,13.897036,2202.0,135.0,39375.0,1455487.0,331269.0,11619684.0
reference,PCG,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,b9c32ece8d3264fc34e5fa2667a781e1,0.731405,2.285989,2454.0,135.0,38968.0,306289.0,313211.0,1250769.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,2f1090d4bfeb16b6ff7c3b112f009357,2.201896,8.048021,2454.0,135.0,43509.0,1763742.0,329826.0,6634853.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,40,None,0,s001-n159,8b22683dc5b80758ef1d0b7d1e4c3740,0.58664,1.791805,837.0,135.0,38611.0,163294.0,316072.0,781096.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,40,None,0,s001-n159,e893038eaf7f01f03f7f4a64a7c23062,2.529841,16.458946,1396.0,135.0,39188.0,2056962.0,339736.0,14382313.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,40,None,0,s001-n159,20eeaf4154787b0aac2aeb79719a0041,3.078252,12.743214,2136.0,135.0,41410.0,2628670.0,329235.0,10996590.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,c5ab8dc65c041d518d01207b614b45e3,0.653387,3.561979,2308.0,135.0,38233.0,204234.0,323407.0,2252640.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,40,None,0,s001-n159,0c3d2d6fb57e6df92a25e07ac46e0d20,0.561309,2.269684,643.0,135.0,40401.0,131334.0,326810.0,1151786.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,40,None,0,s001-n159,4e0f03dd7e26f53f9c419ec2a73e8ce2,2.456038,10.961212,31.0,135.0,41069.0,2014480.0,328505.0,9479733.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,25,None,0,s001-n159,781ede44c30f3a49d916ee93619add9f,0.490527,1.7279,860.0,135.0,8980.0,267489.0,69514.0,1287295.0
reference,PCG,none,Serial,PBiCGStab,DILU,25,None,0,s001-n159,5b32ca6e4173d8c42f0773d1507fdd75,0.258787,0.51213,1305.0,135.0,9002.0,43282.0,73665.0,159429.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,25,None,0,s001-n159,0baf68967d6692b8f584350c6328ad85,0.526991,1.403602,1305.0,135.0,9206.0,313808.0,69456.0,996098.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,25,None,0,s001-n159,d54e0e1b4815647762ee5465d685638b,0.23411,0.444175,479.0,135.0,8986.0,18957.0,69955.0,106181.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,25,None,0,s001-n159,ce901bc57a41f8ec3172d9e844993d44,0.699352,2.334632,675.0,135.0,8443.0,497134.0,68682.0,1868161.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,25,None,0,s001-n159,dcf4077525dacd971d509791e5efa410,0.650316,1.840168,1025.0,135.0,8958.0,430359.0,72672.0,1400920.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,25,None,0,s001-n159,ae03dabe7279e756d7cdc7800209873d,0.243649,0.550883,847.0,135.0,8941.0,31038.0,72795.0,201708.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,25,None,0,s001-n159,f8d8bf51b36335f70db0a91a857c3336,0.249105,0.599739,544.0,135.0,9067.0,28173.0,73196.0,238517.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,25,None,0,s001-n159,06e63fdb8eff00e008f70d9697574af3,0.540942,1.736857,27.0,135.0,8424.0,327464.0,68960.0,1318146.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,35,None,0,s001-n159,de69d0184d7ca03f74b74d4580c1bd0f,1.225096,6.300782,1397.0,135.0,24713.0,869151.0,196555.0,5197464.0
reference,PCG,none,Serial,PBiCGStab,DILU,35,None,0,s001-n159,e82bf0600e1b8cbb78e56029ad84fc1b,0.509429,1.436728,2191.0,135.0,25470.0,165183.0,201053.0,716359.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,35,None,0,s001-n159,d884e14ea9f9caf7097b9eccc2cc6995,1.419213,4.95511,2190.0,135.0,25250.0,1072349.0,201836.0,4012188.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,35,None,0,s001-n159,ca3e3d24522f506004c4791bff517940,0.441601,1.065827,624.0,135.0,25004.0,90362.0,195177.0,368637.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,35,None,0,s001-n159,38b802bd694125b10eef44df20ff55a6,1.580018,10.875635,1412.0,135.0,25356.0,1214998.0,202458.0,9551741.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,35,None,0,s001-n159,8b2237ed2a111820fc60718b3c89fd8c,1.911996,7.106565,1743.0,135.0,24057.0,1555723.0,195410.0,6008037.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,35,None,0,s001-n159,6d16787e91fa54ebbf85a9bdeefe3386,0.45252,1.58931,1324.0,135.0,24394.0,110331.0,197108.0,841428.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,35,None,0,s001-n159,7d2b5a81ff9286d7f5cd11cbd038490b,0.487838,1.236706,459.0,135.0,25121.0,143232.0,196075.0,524307.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,35,None,0,s001-n159,c03165529f0d947166e5b738cd78c218,1.525865,6.866109,31.0,135.0,24214.0,1272463.0,200149.0,5863094.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,10,None,0,s001-n159,3005b6306e9a190bf57690dff6778d7b,0.179379,0.21716,298.0,135.0,565.0,20224.0,4411.0,53346.0
reference,PCG,none,Serial,PBiCGStab,DILU,10,None,0,s001-n159,45ff47abe9dcad0c9cce4a63b585421f,0.149401,0.166176,425.0,135.0,565.0,1009.0,4359.0,3353.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,10,None,0,s001-n159,bcdcad926a26fcc25e0a4d3e8fd948f7,0.16414,0.205395,425.0,135.0,569.0,14861.0,4405.0,42445.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,10,None,0,s001-n159,055b5ca71098b8eb58952c30fa3742b7,0.149992,0.161728,128.0,135.0,561.0,606.0,4294.0,2112.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,10,None,0,s001-n159,7b8dd2f9df70a9a151e8953c40489fc4,0.174155,0.221259,205.0,135.0,573.0,18056.0,4264.0,57512.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,10,None,0,s001-n159,388ff928c54af965cfe417f3e4c4104f,0.166656,0.207992,291.0,135.0,546.0,16384.0,4263.0,45943.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,10,None,0,s001-n159,385d1bd55ba5e164206e40329a4aca50,0.151065,0.164035,337.0,135.0,564.0,1729.0,4402.0,5140.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,10,None,0,s001-n159,80639cce028b0f01bfff730907a9cd5b,0.150094,0.164041,83.0,135.0,648.0,606.0,4563.0,2582.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,10,None,0,s001-n159,ca8308b6a00d6c347904a63ff6fcadd8,0.165179,0.225125,23.0,135.0,568.0,14429.0,4425.0,59554.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,s001-n159,c6b0d94b2f089b811a6992d3442a54a4,4.054936,38.955578,3111.0,135.0,94198.0,3332906.0,781369.0,32394918.0
reference,PCG,none,Serial,PBiCGStab,DILU,50,None,0,s001-n159,78039776e4d3700de72b4fc032ca9877,1.111295,6.251778,4092.0,135.0,88425.0,392759.0,753911.0,4077055.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,50,None,0,s001-n159,b86407e1314e1547c5da4a03391c3870,3.490963,23.770783,4091.0,135.0,88160.0,2760859.0,746351.0,20582946.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,50,None,0,s001-n159,1e519bbfc026309a1a29af1a30290ab2,0.929139,4.139997,1111.0,135.0,93544.0,218839.0,745065.0,2080580.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,50,None,0,s001-n159,ebca22afbce20d8195067ca6f51a0c0a,5.117032,49.595654,2259.0,135.0,89152.0,4391511.0,770578.0,44618348.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,50,None,0,s001-n159,3626aa98619a7e1494ae75c62b9d0268,4.607545,31.958478,2838.0,135.0,93087.0,3884304.0,765947.0,27998523.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,s001-n159,700a444e7fe5cbaf5b486a80a9df350a,1.250028,10.522941,3493.0,135.0,90380.0,528851.0,749286.0,7543053.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,s001-n159,7ad33caf38d3bff555da0bfff543679a,1.038093,6.591468,1018.0,135.0,87586.0,293196.0,737639.0,4123201.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,50,None,0,s001-n159,2e898e518cea3263a48cff2b30ad83b7,5.788339,29.687123,38.0,135.0,89224.0,5014835.0,748387.0,25715443.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,85,None,0,s001-n159,bfdde5417af95092ecb93e577c1a1e20,28.347303,378.580878,6316.0,135.0,496465.0,25060273.0,4325207.0,325792924.0
reference,PCG,none,Serial,PBiCGStab,DILU,85,None,0,s001-n159,b0530936314e102508bdf7d0cecbe908,11.240405,81.702146,9773.0,135.0,499653.0,7964675.0,4336686.0,64483775.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,85,None,0,s001-n159,2229ec771eeeae89743a9ea6d8f4ebaf,37.655847,275.959748,9773.0,135.0,491338.0,33981650.0,4190622.0,240581023.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,85,None,0,s001-n159,fbc3b9489802eda34a7cb6e3415cf4a9,7.822608,47.197952,2798.0,135.0,492195.0,4569925.0,4188616.0,33242077.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,85,None,0,s001-n159,56fa63b2d2b5ff6b737cb80cf7e93871,35.978947,570.148567,5110.0,135.0,494095.0,32693927.0,4273232.0,491104858.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,85,None,0,s001-n159,a4c1b3d3bad05a69721675fbaab96e61,54.017364,416.081377,7659.0,135.0,488750.0,50719057.0,4222887.0,362004316.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,85,None,0,s001-n159,8a89789ab5c5ef6ae5d4e668d6a64e82,8.414474,111.521453,6682.0,135.0,490349.0,5112593.0,4203452.0,89580473.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,85,None,0,s001-n159,6ee841a6156ad30d8363213d3aa0ccbe,6.19788,66.84885,2082.0,135.0,499767.0,2959099.0,4190662.0,49893275.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,85,None,0,s001-n159,3c532454b0409c27424587b3aec05576,41.908099,296.730055,39.0,135.0,492970.0,38735658.0,4232595.0,273055410.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,60,None,0,s001-n159,2da427d75cc94099d391fb0277ee3819,8.091625,87.231044,4175.0,135.0,164704.0,6855156.0,1421530.0,74601171.0
reference,PCG,none,Serial,PBiCGStab,DILU,60,None,0,s001-n159,8051ba90a99afb1649e54a489c47bfe8,2.787766,12.468625,4590.0,135.0,174434.0,1576273.0,1404943.0,8464697.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,60,None,0,s001-n159,59b0897a42dfc37360084dabbaeb8839,9.70754,46.643091,4590.0,135.0,174076.0,8502207.0,1461399.0,40372335.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,60,None,0,s001-n159,714d3a4355abbc42dad4516ff2ca3d07,2.211232,9.353921,1335.0,135.0,173563.0,1052871.0,1407934.0,5059264.0
dpcpp,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,60,None,0,s001-n159,cafb60fff568087c37e5d0f8c85d6888,9.638076,125.289744,3268.0,135.0,171831.0,8430216.0,1427793.0,110580857.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,60,None,0,s001-n159,be848597f61b4a741bf40d55386b0f84,13.913889,71.595954,3796.0,135.0,163794.0,12685261.0,1430886.0,63781797.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,60,None,0,s001-n159,81ce8b953cca5306edc17a4b222bd1a6,2.424079,23.937275,4456.0,135.0,165888.0,1223046.0,1382722.0,18344928.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,60,None,0,s001-n159,d677fb93f1eb18d304d9583e4eef75f6,1.886643,15.2364,1344.0,135.0,172200.0,635375.0,1397406.0,10449746.0
dpcpp,GKOIR,none,Serial,PBiCGStab,DILU,60,None,0,s001-n159,8944277814e009df073d2cd37e7db6bf,10.683901,66.470204,38.0,135.0,165954.0,9478214.0,1408573.0,61799186.0
dpcpp,GKOBiCGStab,none,Serial,PBiCGStab,DILU,95,None,0,s001-n159,e7b5a1e4f63591a309da1f69cc3af227,43.103852,614.1276,7282.0,135.0,700657.0,38654167.0,5942515.0,522646549.0
reference,PCG,none,Serial,PBiCGStab,DILU,95,None,0,s001-n159,aca083192c60c903ef5012612f608da4,17.743752,131.369782,11051.0,135.0,696604.0,13216186.0,6020840.0,105469241.0
dpcpp,GKOCG,none,Serial,PBiCGStab,DILU,95,None,0,s001-n159,2fd8d3762225d257755569719f1151a8,57.965714,450.88229,11533.0,135.0,695912.0,53436182.0,5894557.0,396069958.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,95,None,0,s001-n159,4d51ce95f1b29fb8e84f1a0321f3c922,10.042175,83.111684,3665.0,135.0,693155.0,5533498.0,5914524.0,62703057.0
dpcpp,GKOCG,BJ,Serial,PBiCGStab,DILU,95,None,0,s001-n159,61335f05aad864961ae078130feb1be5,84.870715,663.7878,9162.0,135.0,717860.0,80326218.0,6047238.0,601201284.0
