executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,linear_solve_p,linear_solve_U
#{'node_data': {'host': 'guyot.icl.utk.edu\n', 'top': ['top - 03:45:43 up 2 days, 13:28,  2 users,  load average: 1.17, 1.42, 1.21', 'Tasks: 2214 total,   2 running, 2212 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'KiB Mem : 21134055+total, 20747933+free, 29538412 used,  9073844 buff/cache', 'KiB Swap:  4194300 total,  4194300 free,        0 used. 20817824+avail Mem ', '', '   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND', ' 79179 greole    20   0  175064   4264   1544 R  16.7  0.0   0:00.05 top', '  3230 root      39  19       0      0      0 D   5.6  0.0  46:15.77 kipmi0', '     1 root      20   0  191832   4860   2636 S   0.0  0.0   0:14.64 systemd', '     2 root      20   0       0      0      0 S   0.0  0.0   0:00.24 kthreadd', '     4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0+', '     6 root      20   0       0      0      0 S   0.0  0.0   0:00.14 ksoftirqd+', '     7 root      rt   0       0      0      0 S   0.0  0.0   0:01.06 migration+', '     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh'], 'uptime': ' 03:45:43 up 2 days, 13:28,  2 users,  load average: 1.17, 1.42, 1.21\n', 'libOGL.so': '7fe16195c811be326d3fbe59785f8e94  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.2.2', 'OBR_VERSION': '0.2.0'}
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,bf3198d0f74638ec818680d763d566a8,4.326757,8.596855,3987.0,125.0,786976.0,5853744.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,bf3198d0f74638ec818680d763d566a8,4.326757,9.75177,3987.0,125.0,753043.0,5806206.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,bf3198d0f74638ec818680d763d566a8,4.326757,8.389863,3987.0,125.0,760012.0,5778512.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,737f1425b72bdcc17d5c8c33af0df38b,4.446449,11.207928,4202.0,125.0,832438.0,6949690.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,737f1425b72bdcc17d5c8c33af0df38b,4.446449,9.554992,4202.0,125.0,780913.0,6756917.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,737f1425b72bdcc17d5c8c33af0df38b,4.446449,10.921705,4202.0,125.0,786546.0,6785878.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,cebe3e292c9b36bc028cdae04d9ebbb4,4.393416,10.448609,5628.0,125.0,782535.0,6322365.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,cebe3e292c9b36bc028cdae04d9ebbb4,4.393416,9.164131,5628.0,125.0,805254.0,6328108.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,cebe3e292c9b36bc028cdae04d9ebbb4,4.393416,8.950057,5628.0,125.0,775089.0,6272003.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.652454,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.613546,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.63417,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.635273,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.615809,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.633766,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.626199,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.61772,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.635422,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.641901,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.741871,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.633445,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,0,1.632498,1.645719,0,0,0,0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,f89112479b74cbd245feff3d66a53373,2.276057,15.618153,4438.0,125.0,760774.0,11284757.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,f89112479b74cbd245feff3d66a53373,2.276057,14.544699,4438.0,125.0,757315.0,11369394.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,f89112479b74cbd245feff3d66a53373,2.276057,14.575641,4438.0,125.0,754935.0,11311148.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,4099005a5ac59d4991df73b8fad13cf7,4.428753,9.312662,3191.0,125.0,777625.0,6384972.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,4099005a5ac59d4991df73b8fad13cf7,4.428753,10.732416,3191.0,125.0,789589.0,6427047.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,4099005a5ac59d4991df73b8fad13cf7,4.428753,9.319022,3191.0,125.0,779834.0,6431854.0
reference,PCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,21368119ee953f5e261a40e5a91834a2,1.699848,9.604916,5629.0,125.0,759779.0,7047149.0
reference,PCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,21368119ee953f5e261a40e5a91834a2,1.699848,9.318724,5629.0,125.0,765581.0,6995271.0
reference,PCG,none,Serial,PBiCGStab,DILU,50,None,0,guyot.icl.utk.edu,21368119ee953f5e261a40e5a91834a2,1.699848,9.372271,5629.0,125.0,759568.0,7030543.0
