executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n489.localdomain\n', 'top': ['top - 21:15:33 up 40 days,  1:15,  0 users,  load average: 2.01, 2.00, 2.00', 'Tasks: 1242 total,   3 running, 1239 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  2.4 us,  0.3 sy,  0.0 ni, 97.2 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 316963.8 free,  54702.0 used,  14956.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 329641.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3117591 hd_hg453  20   0   39.2g  19.9g 102988 R  94.1   5.3 370:12.71 python3', '4140039 em8656    20   0   42.9g   5.5g 118476 R  94.1   1.4  45:02.63 python3', '  46430 nq7776    20   0   56900   5620   3640 R  11.8   0.0   0:00.03 top', '      1 root      20   0  245388  12172   8592 S   0.0   0.0   0:20.18 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:40.52 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 21:15:33 up 40 days,  1:15,  0 users,  load average: 2.01, 2.00, 2.00\n', 'libOGL.so': '3f9ccb7c3ed085f4372678450d510bb0  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,604f9b9c2f1d2c02529003305363fe38,0.906782,0.926436,135.0,135.0,186.0,741628.0,982.0,766914.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,453830ec780f94f058cf4d3d3c8f9a80,0.889432,0.922784,135.0,135.0,179.0,739021.0,975.0,764317.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,a05140b19501266fcf62e8262793f4a9,0.894266,0.985417,135.0,135.0,177.0,802006.0,965.0,827310.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,1a40a9957b6bf0249aa95b8277fe0ab7,0.901725,0.944922,132.0,135.0,188.0,748952.0,986.0,786044.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,f777d07a9871a1f29fd9a3fd2fc99d88,0.958651,0.934656,189.0,135.0,180.0,745163.0,1005.0,775966.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,79847f7e2f9da63a37a1d9254b5a07f9,0.894651,0.96573,23.0,135.0,184.0,743608.0,985.0,802616.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n489.localdomain,5149c90659e8d05ed969f8fb2bd00ac1,0.891281,0.926705,80.0,135.0,190.0,738871.0,994.0,767854.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,15,1,0,uc2n489.localdomain,8f6c11e16c38bc45af7446b2deff6726,0.956013,1.155496,605.0,135.0,2337.0,837222.0,17691.0,942271.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,15,1,0,uc2n489.localdomain,5fee103f795f452fe077f065a21e77a3,0.969817,1.140913,452.0,135.0,2453.0,793040.0,17844.0,923332.0
