executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n402.localdomain\n', 'top': ['top - 21:16:16 up 40 days,  7:37,  0 users,  load average: 0.97, 10.42, 18.24', 'Tasks: 1075 total,   1 running, 1074 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  89023.7 free,   5474.3 used,   1820.7 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  89949.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '4063909 nq7776    20   0   56636   5356   3636 R   6.2   0.0   0:00.03 top', '      1 root      20   0  245072  10056   6676 S   0.0   0.0   3:19.58 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:09.98 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   3:51.71 ksoftir+'], 'uptime': ' 21:16:16 up 40 days,  7:37,  0 users,  load average: 0.97, 10.42, 18.24\n', 'libOGL.so': '3f9ccb7c3ed085f4372678450d510bb0  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,7579794df24f0e3279bb5203dc885419,0.078193,0.088162,68.0,135.0,207.0,136.0,1117.0,543.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,978204f70e572627aca1081ad5a7a279,0.08169,0.087042,68.0,135.0,208.0,110.0,1033.0,485.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,459ec5ec69aa5d0277a7354088cec539,0.08203,0.086187,68.0,135.0,211.0,123.0,1040.0,501.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,649011fe91301f464950d24e0d5ea444,0.080491,0.084088,45.0,135.0,215.0,116.0,1035.0,516.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,2cf9c9c557f193f8917f0dbcae8b624e,0.082902,0.085271,143.0,135.0,236.0,170.0,1089.0,646.0
reference,PCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n402.localdomain,52c5c497c65d5dcd1eab838876e66a94,0.077952,0.086362,187.0,135.0,207.0,144.0,1050.0,566.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,15,1,0,uc2n402.localdomain,0c3c393c9e921721994386aeb7dc7dea,0.10319,0.15123,349.0,135.0,2361.0,3798.0,17504.0,19730.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,15,1,0,uc2n402.localdomain,8646b7147760331fdc007509729f499e,0.104242,0.149534,167.0,135.0,2372.0,4110.0,17393.0,18209.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,15,1,0,uc2n402.localdomain,af0350d4833aad6c501312b55ae13656,0.112336,0.159957,463.0,135.0,2359.0,8374.0,17267.0,27417.0
reference,PCG,none,Serial,PBiCGStab,DILU,15,1,0,uc2n402.localdomain,0c438e6f6a98037aa6337a8322ae80a6,0.10484,0.15482,770.0,135.0,2533.0,6676.0,17372.0,23528.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,90,1,0,uc2n402.localdomain,0,8.026945,8.042349,0,0,0,0,0,0
reference,PCG,DIC,Serial,PBiCGStab,DILU,90,1,0,uc2n402.localdomain,437585aa4e6fd65610cb4c3b27965469,8.033424,73.750146,3062.0,135.0,745226.0,3511947.0,6237998.0,53009689.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,90,1,0,uc2n402.localdomain,125c3aa276f715c7f572d1efc05557e6,9.057634,95.767328,2065.0,135.0,736430.0,4575305.0,6154080.0,71450466.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,90,1,0,uc2n402.localdomain,adbbcef6a72473c365bffd379c7b0471,13.387563,164.888222,6748.0,135.0,740754.0,7954919.0,6189053.0,131276788.0
reference,PCG,none,Serial,PBiCGStab,DILU,90,1,0,uc2n402.localdomain,d50cbf997a37de896447264fb0b9bbb6,16.545952,117.085475,10294.0,135.0,749383.0,12233102.0,6261607.0,97278227.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,75,1,0,uc2n402.localdomain,e9e2ebeac846d6d34304b97acf709a06,4.132213,32.055676,2248.0,135.0,413201.0,1517762.0,3414557.0,21471944.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,75,1,0,uc2n402.localdomain,fb30edb077a678cbb8dba44a8552e748,4.554734,44.231672,1562.0,135.0,415959.0,1929252.0,3549361.0,31456251.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,75,1,0,uc2n402.localdomain,251572f4530fc0cbd3cc3d76123e1552,6.505738,68.440759,4777.0,135.0,410373.0,3889380.0,3436876.0,52261095.0
reference,PCG,none,Serial,PBiCGStab,DILU,75,1,0,uc2n402.localdomain,568f7e0a80cee06121d2ec31b19c783a,8.017813,44.014365,6730.0,135.0,415655.0,5400948.0,3442579.0,33956084.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,40,1,0,uc2n402.localdomain,dfd5ccef9b526ec62a17490e32a5bb25,0.656082,2.260178,837.0,135.0,52802.0,222346.0,425679.0,1044693.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,40,1,0,uc2n402.localdomain,ce88357226126aab5f7597ff798671aa,0.608563,2.83059,643.0,135.0,52326.0,167835.0,415245.0,1531007.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,40,1,0,uc2n402.localdomain,1b2d1ca8479a9660f961a418eca5baa5,0.713326,4.74277,2308.0,135.0,52265.0,277937.0,421052.0,3137468.0
reference,PCG,none,Serial,PBiCGStab,DILU,40,1,0,uc2n402.localdomain,165713aad7c04738a6ed9878d10425a6,0.835265,2.83806,2454.0,135.0,52198.0,401752.0,414503.0,1623066.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,25,1,0,uc2n402.localdomain,900b0bc249a86c75dca7328b2ba2995f,0.190731,0.446758,479.0,135.0,11277.0,21199.0,89966.0,123657.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,25,1,0,uc2n402.localdomain,78ee4cb3948739863f382a5745ab87eb,0.202562,0.62087,544.0,135.0,11204.0,33631.0,88720.0,280084.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,25,1,0,uc2n402.localdomain,8fbbe13d71eea6cddeee68b0762d4665,0.204034,0.571026,847.0,135.0,11159.0,37497.0,88582.0,242220.0
reference,PCG,none,Serial,PBiCGStab,DILU,25,1,0,uc2n402.localdomain,cd93ba3c035284116d3191e41eabf96c,0.221568,0.500595,1305.0,135.0,11274.0,48945.0,89016.0,179195.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,65,1,0,uc2n402.localdomain,0b7053ce7847dc8ecd770511e3cb7e26,3.480212,16.067249,1705.0,135.0,260668.0,1736480.0,2145949.0,10167663.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,65,1,0,uc2n402.localdomain,48e3b9e80f742c3d808d761a98728a37,2.797811,25.636762,1427.0,135.0,263439.0,1086797.0,2183988.0,17781983.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,65,1,0,uc2n402.localdomain,b27973eb267ec27c67f7d651cdf05518,4.075644,40.078961,4383.0,135.0,280734.0,2291188.0,2201641.0,30357720.0
reference,PCG,none,Serial,PBiCGStab,DILU,65,1,0,uc2n402.localdomain,097bc03792087d15d678180ab4ccd8c2,4.625707,23.255495,5379.0,135.0,262233.0,2864598.0,2176144.0,16801737.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,95,1,0,uc2n402.localdomain,fa4340d55d7046b9b7f9dc3692571592,12.097994,100.418783,3665.0,135.0,886368.0,6744567.0,7409853.0,75393991.0
