executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n513.localdomain\n', 'top': ['top - 13:35:41 up 41 days, 15:23,  0 users,  load average: 1.27, 1.05, 1.02', 'Tasks: 1183 total,   1 running, 1182 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.0 us,  0.5 sy,  0.0 ni, 98.4 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem : 386622.4 total, 338097.9 free,  45154.8 used,   3369.8 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 339289.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1210865 kn_pop2+  20   0   58.1g  13.4g 131116 S 100.0   3.5   2933:22 python', ' 214195 nq7776    20   0   56900   5580   3600 R   5.9   0.0   0:00.03 top', '      1 root      20   0  245368  11900   8352 S   0.0   0.0   0:20.94 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:58.16 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 13:35:41 up 41 days, 15:23,  0 users,  load average: 1.27, 1.05, 1.02\n', 'libOGL.so': '20ea24db40641b89084a60b51e8ac59b  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,9b516379371c4a515a4619606ef5fa58,0.905097,0.949984,332.0,135.0,185.0,739780.0,946.0,787748.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,256c4261336b7f6b8d2c4a2ea62ebb33,0.899704,0.946533,92.0,135.0,188.0,740762.0,955.0,782338.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,1c600f78524ac895afc385edad350d97,0.898944,0.993488,311.0,135.0,186.0,746832.0,1005.0,830299.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,8ac91eb6f4ba5b930db731922484c842,0.902672,0.967223,467.0,135.0,186.0,741547.0,959.0,806589.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,69e3f4ce446162e0cf945854d977e4a9,0.90067,0.991415,34.0,135.0,190.0,743451.0,967.0,825305.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,5e61b35e1f1d6cd46072701bfa074b48,0.896717,0.935671,162.0,135.0,178.0,734793.0,965.0,772119.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,5,1,0,uc2n513.localdomain,6952eefcc5d44f035c546699b2f58061,0.899871,0.956076,198.0,135.0,199.0,737330.0,964.0,793796.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,ef4a6488986eeb71e121cd5e5fbcdb60,0.960461,1.143237,1187.0,135.0,2362.0,787167.0,17113.0,931152.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,d9f2f75f3dde92f3f0eadff456cb2ae2,0.968461,1.156472,288.0,135.0,2433.0,794152.0,17267.0,940689.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,42e1f98e858a56cb36e1be2db7bae86f,0.991246,1.324797,1150.0,135.0,2368.0,827213.0,17066.0,1100500.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,1fc8273642da8074abeeaf3c6161e240,0.968196,1.185359,1441.0,135.0,2386.0,787906.0,17238.0,966721.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,6ac7b878f4ebc2743f7cbb95dac16a5b,0.968424,1.262975,39.0,135.0,2520.0,790186.0,17665.0,1033631.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,583eb0c903308322e2ba83443891f300,0.95441,1.112659,470.0,135.0,2407.0,775337.0,17289.0,899091.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,15,1,0,uc2n513.localdomain,fd658997b78e81c492ade45b23c7b319,0.969099,1.203805,821.0,135.0,2377.0,790010.0,17450.0,987816.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,66a733aed6546b478ac54a93c6abf173,14.096975,36.896691,10874.0,135.0,792123.0,9299067.0,6606965.0,20177153.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,d71568bb04c92be86aa6b2a22ff25560,17.110811,65.184621,3164.0,135.0,773156.0,12075745.0,6429514.0,45624009.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,0f4256bf5f4580f518611c3819d8a350,14.822926,44.906161,10566.0,135.0,770000.0,10095701.0,6489920.0,27664731.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,c6e82cc8b922b44b890deb0165c322ed,14.112046,37.092147,13201.0,135.0,770588.0,9287943.0,6427761.0,20672057.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,c43ed7840cfa66ae554607ddcf875c44,13.453829,30.269398,57.0,135.0,769566.0,8715552.0,6439055.0,14611303.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,4cb79f5fa19878a93053b32c9eb689eb,15.622487,51.156687,4197.0,135.0,770452.0,10930770.0,6445906.0,33342036.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,90,1,0,uc2n513.localdomain,3421bf73c0c5dead65f6d3d12df0d268,14.689641,42.628004,8213.0,135.0,780560.0,9941289.0,6526340.0,25544046.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,1aff57e18bd95790c3833491acdecef8,8.320936,20.939131,8921.0,135.0,437406.0,5567103.0,3683619.0,11593221.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,344bfb630aa040a2faf69baec71dfe7b,9.799809,33.613259,2461.0,135.0,430492.0,6897869.0,3608438.0,22970142.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,0ffec261180a8632dcf0563fe9f5d615,8.733828,25.166117,8020.0,135.0,432228.0,5989007.0,3610114.0,15443211.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,452c9e41917ea9b875cf76923a10eb33,8.311673,21.011662,10582.0,135.0,431223.0,5554264.0,3618591.0,11784188.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,b1249ffa227da4a64ff38fd17c5deb5d,7.993876,17.500714,56.0,135.0,432795.0,5286268.0,3597483.0,8558692.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,87f0a0bbba1db104f9202b025ad65466,9.156005,27.605873,3326.0,135.0,434864.0,6255663.0,3621758.0,17660054.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,75,1,0,uc2n513.localdomain,7fa74ca085ca599ad6591aa7dc2cf494,8.537228,23.051531,6353.0,135.0,441296.0,5773668.0,3689822.0,13781882.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,23715c055712f25a7b80c64707fce89e,1.895932,3.112811,3575.0,135.0,52228.0,1349909.0,421885.0,1827545.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,31f090dc8900de934f735681ebb3e541,2.067775,3.967718,881.0,135.0,52525.0,1512901.0,426625.0,2620474.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,3b7c21434960bcdb786a9806a1d59dbf,1.945553,3.716675,3951.0,135.0,51817.0,1405260.0,424819.0,2365568.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,20228e7b910197672b83c42c6fb017fa,1.895775,3.216248,4422.0,135.0,52564.0,1354204.0,425529.0,1907758.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,296073f42ee10d3bad5b5536b4237c10,1.925595,3.334041,49.0,135.0,53431.0,1388314.0,432902.0,1977788.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,c0d27ea84bb2c8723fd6449d7b1ac9c8,1.993416,3.670621,1388.0,135.0,51896.0,1441721.0,416197.0,2350424.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,40,1,0,uc2n513.localdomain,218b3825244179c1dd27bd9ac28b3607,1.938868,3.319514,2462.0,135.0,52622.0,1389900.0,422247.0,2011885.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,9ea8f7c8750e17782d3906501c649e8d,1.179506,1.56951,1902.0,135.0,11219.0,904053.0,87555.0,1132441.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,e9ddbb41673a22a71186bb440050c0e9,1.219966,1.706592,486.0,135.0,11124.0,930784.0,88615.0,1254523.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,7c69f8e02e27f93809a3211b897ee65f,1.211133,1.970006,2330.0,135.0,11204.0,942073.0,88747.0,1509604.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,9c7a564a02797ff520e1d1e1056d3b80,1.179056,1.639098,2373.0,135.0,11270.0,907412.0,89955.0,1198322.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,deb911a3547977c06e2d5aeac4ad0070,1.192994,1.816196,45.0,135.0,11378.0,923900.0,90128.0,1334899.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,0e640de8519ce10c128e67a4b8c901dc,1.181348,1.570512,684.0,135.0,11099.0,905357.0,88468.0,1143368.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,25,1,0,uc2n513.localdomain,dec4c85a4e681908efa1c896aa8cab98,1.19642,1.681335,1350.0,135.0,11291.0,919593.0,92368.0,1233566.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,879cbe9d3aa8001db5ebd3e87be6a7b3,5.759766,13.726585,7674.0,135.0,275015.0,3871997.0,2299026.0,7669405.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,5ec8e3de348bc477599e433a1e83e61d,6.506662,21.571251,2159.0,135.0,280583.0,4639860.0,2330340.0,14571066.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,a22992e20e3a43d3160c3ebdecb11907,6.156508,19.249535,7255.0,135.0,273832.0,4189071.0,2301588.0,12490485.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,fef123da1708375949611b73654dd56a,5.750498,15.707931,9128.0,135.0,275727.0,3944540.0,2293558.0,9452102.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,1767197aa72396a67611fca2caac4d06,5.553883,11.739839,56.0,135.0,275712.0,3657890.0,2296898.0,5841913.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,83861add0f404d6416f2eae81f296833,6.165323,16.944805,2890.0,135.0,274149.0,4268707.0,2291146.0,10904281.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,65,1,0,uc2n513.localdomain,3a4a04e21a313a0b009d92bb4f9f0250,5.988875,15.39231,5171.0,135.0,274989.0,4104993.0,2295513.0,9088244.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,aa07de316be9988d5f5a37a414b1f2e0,16.689632,49.293836,11903.0,135.0,913286.0,11381546.0,7699313.0,29292850.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,4ab318cddf7ff38cfd701b3b37fa9a86,20.697697,83.042324,3472.0,135.0,918458.0,15188219.0,7762774.0,59861616.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,20767e4ee36caff9b9ed20210e71dc4f,17.492067,55.102505,11008.0,135.0,919207.0,11897732.0,7726274.0,33794010.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,d002733915c8df21fb24b3a26235aa44,16.46344,44.50935,14116.0,135.0,922999.0,10834996.0,7810070.0,24836118.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,17acce15c002592e2b9832b49c0e45e3,15.701775,36.008378,55.0,135.0,918327.0,10063013.0,7741187.0,17351953.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,104b70deb7ea8775c0cb160b8b1a6c22,18.925357,62.195304,4475.0,135.0,910973.0,12898509.0,7680384.0,40886342.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,95,1,0,uc2n513.localdomain,f4b69763a4a0f148a0b1807b1cd74369,18.294902,59.648471,8846.0,135.0,938783.0,12056797.0,7865943.0,38150268.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,18a8a21eb870dae0b5f42bb8eedc9a02,1.35809,1.947016,2366.0,135.0,19960.0,1014806.0,161654.0,1304917.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,94b93742c5a631e8c8477f286e97711c,1.414371,2.374671,753.0,135.0,19293.0,1065454.0,159947.0,1717181.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,51b8c8a744f8f06b2933beabbeffb8a2,1.406274,2.15695,1957.0,135.0,19464.0,1056071.0,157943.0,1512441.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,61a5e9a62e5e57185a05856041b9fc12,1.362496,2.010782,2855.0,135.0,19861.0,1017475.0,165666.0,1370724.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,1c69e7dec601f9c70a8b4cc2b76fabca,1.382453,2.138671,48.0,135.0,19826.0,1037857.0,160898.0,1472766.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,b2f2ae2d41a8f433d75939dddff32f21,1.37793,2.094464,933.0,135.0,20011.0,1036334.0,164084.0,1448480.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,30,1,0,uc2n513.localdomain,a0de7fcd2b58c21c37648bb43cfae65b,1.36548,2.005206,1415.0,135.0,20031.0,1026540.0,161131.0,1363047.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,947e46ed9db317b3f1d62a9d17a8d89d,6.956535,16.866543,8161.0,135.0,351091.0,4630738.0,2962089.0,9338769.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,7f1b8616239edf28b00ccb168e259bb3,8.009466,27.557964,2396.0,135.0,347935.0,5673031.0,2942517.0,18927905.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,e6c7d4138877eccd994d864875db5047,7.265394,21.214799,7768.0,135.0,361156.0,4957044.0,3014735.0,13032151.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,e55e9a3896c85725abdcb79dad60e1f0,6.953785,17.457812,9628.0,135.0,349727.0,4594282.0,2964208.0,9640856.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,6d9dce18dc3d277604744cacc15c187b,6.649502,14.286921,56.0,135.0,350227.0,4347936.0,2964083.0,6960987.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,68bc3f7e41caac3e32c34b7105ef9bfb,7.518092,21.680189,3041.0,135.0,360351.0,5160431.0,3025767.0,13518735.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,70,1,0,uc2n513.localdomain,fb10f9b44167433c01fcb5dd7b191ecf,7.467585,20.97974,5612.0,135.0,354784.0,4896016.0,2973525.0,12684671.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,55072f01fa72a56ac98f04f852ce5761,18.88532,50.729088,11514.0,135.0,1078884.0,12614432.0,9417170.0,27769358.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,0bdb86e64cc40c5c01b4434aae1a5bc0,23.199948,97.230089,3443.0,135.0,1110259.0,17666328.0,9680754.0,69158812.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,b0217ad8d76e2eb4f82531ed97207631,20.697943,69.620437,10997.0,135.0,1080246.0,13600116.0,9137717.0,44892685.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,5b5843904cdbd68715819d925a3ba7df,18.779054,56.261189,13406.0,135.0,1085510.0,12889935.0,9499143.0,32676263.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,fbac2ffb4c4089ea4067686fb074d1d2,18.008729,42.517696,47.0,135.0,1085452.0,11792615.0,9482394.0,20507668.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,773fc7b621d64d0427e82ce1d0341754,21.215052,71.872898,4243.0,135.0,1077442.0,14939939.0,9411400.0,46853850.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,100,1,0,uc2n513.localdomain,6f97e7b40e1055247fbc7814b73bbe6d,20.680979,60.886174,8839.0,135.0,1105490.0,13770299.0,9703895.0,36308721.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,08b2e57645261a1e1c51c852a224746e,9.779237,28.051083,9125.0,135.0,540901.0,6522745.0,4543023.0,16252405.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,eda69edc74fa59b33db520a2f2658348,11.594477,44.540434,2780.0,135.0,540214.0,8291235.0,4547393.0,31255938.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,c057d70ea5414ab236c31e8ee63456a6,10.415426,35.143568,8825.0,135.0,538424.0,7101102.0,4539555.0,22568461.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,97dca1f9e115562305780d98912ff466,9.76712,25.385045,11227.0,135.0,541509.0,6515297.0,4548461.0,13917735.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,dd88dbf50494719909c1b3b1a73f2f9a,9.446237,21.235855,57.0,135.0,531186.0,6189363.0,4469896.0,10349984.0
cuda,GKOCG,ILU,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,6c028857fb0e17c9f3753dd3a17c3c5f,10.777949,34.678921,3551.0,135.0,527934.0,7613802.0,4446294.0,22452615.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,80,1,0,uc2n513.localdomain,90ba41a2868a952a8c713d16652d10c8,10.412888,29.208512,7082.0,135.0,528849.0,6950137.0,4445430.0,17457453.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,85,1,0,uc2n513.localdomain,dfcf38a90d7b903ad4058af7aa500a18,12.12709,33.044046,10089.0,135.0,647253.0,7807110.0,5424746.0,18940402.0
cuda,GKOBiCGStab,ILU,Serial,PBiCGStab,DILU,85,1,0,uc2n513.localdomain,ed47a2f6581485abcf26a3face93ee59,14.457018,55.160583,3000.0,135.0,653399.0,10466633.0,5422495.0,38953339.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,85,1,0,uc2n513.localdomain,ee9ff2b0815afe0f1c2f5465dd06af92,13.107667,43.932911,10012.0,135.0,643359.0,8450625.0,5351003.0,28764801.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,85,1,0,uc2n513.localdomain,46c72fcbaf5081daef08af2a42352eaf,11.878768,35.685881,12290.0,135.0,642068.0,8130997.0,5335667.0,21604483.0
