executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n442.localdomain\n', 'top': ['top - 13:35:41 up 42 days, 23:01,  0 users,  load average: 6.21, 6.43, 7.22', 'Tasks: 1049 total,   7 running, 1042 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  7.6 us,  0.1 sy,  0.0 ni, 92.2 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  86420.2 free,   6115.7 used,   3782.8 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  89329.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3633612 kn6273    20   0 2811736 174064  14936 R  94.1   0.2 469:20.21 python3', '3669747 kn6273    20   0 2827888 251080  97200 R  94.1   0.3 126:28.93 python3', '3672030 kn6273    20   0 2812024 256508  97060 R  94.1   0.3 102:27.87 python3', '3672031 kn6273    20   0 2811988 256560  97184 R  94.1   0.3 104:33.20 python3', '3680945 kn6273    20   0 2827936 251648  97840 R  94.1   0.3  40:04.77 python3', '3680946 kn6273    20   0 2828548 251868  97780 R  94.1   0.3  40:04.59 python3', '3704839 nq7776    20   0   56636   5344   3624 R  11.8   0.0   0:00.03 top', '   2484 root      20   0  417156  23792   8080 S   5.9   0.0   6:59.27 tuned'], 'uptime': ' 13:35:41 up 42 days, 23:01,  0 users,  load average: 6.21, 6.43, 7.22\n', 'libOGL.so': '20ea24db40641b89084a60b51e8ac59b  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n442.localdomain,30c645395e4e9bb85e3d97fb6472f735,0.078192,0.085001,163.0,135.0,179.0,126.0,1026.0,650.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,5,1,0,uc2n442.localdomain,164778b606bbaa070a95912b0fb52c46,0.07993,0.081273,107.0,135.0,167.0,123.0,914.0,688.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,5,1,0,uc2n442.localdomain,38fa3a614bcf045ec0d630fc77d44739,0.080744,0.083711,326.0,135.0,176.0,185.0,962.0,982.0
reference,PCG,none,Serial,PBiCGStab,DILU,5,1,0,uc2n442.localdomain,81bce00406191e06343065ded6a9a840,0.080331,0.081438,452.0,135.0,168.0,149.0,920.0,804.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,15,1,0,uc2n442.localdomain,06f05d35aff9f2a12d2b5b306adaa340,0.101063,0.153844,470.0,135.0,2301.0,4173.0,17231.0,25276.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,15,1,0,uc2n442.localdomain,4f5e1f5af1ee3f93225cf60a83e2e180,0.105303,0.161283,307.0,135.0,2335.0,6314.0,17231.0,31894.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,15,1,0,uc2n442.localdomain,19f5719f3db76d516943b2592dabccc4,0.1101,0.194978,1115.0,135.0,2278.0,12608.0,16974.0,64044.0
reference,PCG,none,Serial,PBiCGStab,DILU,15,1,0,uc2n442.localdomain,fedfd039708ce6072c2900d3c50a218c,0.105471,0.171967,1441.0,135.0,2324.0,7140.0,17041.0,42305.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,90,1,0,uc2n442.localdomain,f1c76198c90814b15d09c91469b5d943,12.608009,93.764408,4190.0,135.0,743080.0,8114524.0,6215123.0,71828616.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,90,1,0,uc2n442.localdomain,c702197331f84248756306a89bcc07fe,17.428749,134.895131,3184.0,135.0,759864.0,13515189.0,6386720.0,114785552.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,90,1,0,uc2n442.localdomain,4fc28447b58049c9131f682c8cb3415c,30.039903,235.504734,10482.0,135.0,731764.0,25399404.0,6171620.0,202886414.0
reference,PCG,none,Serial,PBiCGStab,DILU,90,1,0,uc2n442.localdomain,1e6411aa3582927fe69ba4f5cd480222,18.229974,149.597817,13196.0,135.0,737497.0,13790505.0,6171441.0,122297076.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,75,1,0,uc2n442.localdomain,191743f7464d733375cc58c8e894892d,6.389921,42.952967,3325.0,135.0,412794.0,3771074.0,3429082.0,31816273.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,75,1,0,uc2n442.localdomain,2a4a685d45de248b844c17114d4f30f8,8.277187,57.460146,2299.0,135.0,415393.0,5676225.0,3452272.0,45044535.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,75,1,0,uc2n442.localdomain,1dafd67a51536bd7cd4ed89d647c551c,13.061605,104.520379,8008.0,135.0,412129.0,10477148.0,3425039.0,87642545.0
reference,PCG,none,Serial,PBiCGStab,DILU,75,1,0,uc2n442.localdomain,50f0abb97b3974491d3ed86ba815e33f,8.796419,66.197849,10580.0,135.0,413680.0,6199173.0,3440841.0,53020974.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,40,1,0,uc2n442.localdomain,b60be976fa1f8acbcb2a24a09005cfae,0.684587,2.914903,1387.0,135.0,51688.0,256720.0,422008.0,1698148.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,40,1,0,uc2n442.localdomain,b3331523fee41d9ec3a488620eb1aadb,0.822107,3.334046,884.0,135.0,51567.0,388261.0,412291.0,2094035.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,40,1,0,uc2n442.localdomain,b332ca7a96332403ebc819d73174e6b2,1.144653,6.904816,4023.0,135.0,52186.0,715189.0,417266.0,5440995.0
reference,PCG,none,Serial,PBiCGStab,DILU,40,1,0,uc2n442.localdomain,65b472245c7dfe1525e81a3195060741,0.891048,4.145908,4419.0,135.0,52212.0,460342.0,419213.0,2878017.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,25,1,0,uc2n442.localdomain,b8d19235ff777f56720b9e3cb8e25296,0.195068,0.490026,684.0,135.0,11123.0,32436.0,88083.0,174385.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,25,1,0,uc2n442.localdomain,ac013524a6e8d03abfe51715d631364f,0.216189,0.585056,503.0,135.0,11092.0,48210.0,89054.0,261205.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,25,1,0,uc2n442.localdomain,b1c220cf7963c4b7d4ebbd1164c4eec2,0.265411,0.954931,2074.0,135.0,11378.0,100980.0,90824.0,597282.0
reference,PCG,none,Serial,PBiCGStab,DILU,25,1,0,uc2n442.localdomain,71c38c9373185e43b451fbcda715740f,0.221308,0.641749,2369.0,135.0,11320.0,55556.0,87998.0,318911.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,65,1,0,uc2n442.localdomain,85330e4739ad7398e8f1449e24ed4626,3.73699,23.066168,2882.0,135.0,261332.0,1994382.0,2143338.0,17012992.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,65,1,0,uc2n442.localdomain,d3013ffe280e6c8478613463de2eece6,4.626693,27.848659,1751.0,135.0,260752.0,2900512.0,2150515.0,21561880.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,65,1,0,uc2n442.localdomain,e24188de23fecf7063206d49c038b775,8.016732,58.274269,7126.0,135.0,260661.0,6286377.0,2155946.0,48441593.0
