executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n482.localdomain\n', 'top': ['top - 13:07:03 up 43 days, 23:18,  0 users,  load average: 1.77, 1.70, 3.34', 'Tasks: 1172 total,   1 running, 1171 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.4 us,  0.4 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 386622.4 total, 364535.7 free,  15760.1 used,   6326.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 368655.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3585952 vr9129    20   0   12.8g   2.9g 367904 S 131.2   0.8  42:10.94 python', '3625375 nq7776    20   0   56900   5580   3600 R  12.5   0.0   0:00.03 top', '   3588 root      20   0       0      0      0 S   6.2   0.0  31:29.69 kiblnd_+', '      1 root      20   0  245388   8148   4572 S   0.0   0.0   0:20.43 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:12.40 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 13:07:03 up 43 days, 23:18,  0 users,  load average: 1.77, 1.70, 3.34\n', 'libOGL.so': 'fe504a78962a49cab92e9b4c549389b3  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,BJ,5,1,0,uc2n482.localdomain,16,None,1,00481df93633cbce98863b3b3e1fcdf6,0.922595,0.965683,315.0,135.0,203.0,984.0,751525.0,795604.0
CUDA,CG,BJ,5,1,0,uc2n482.localdomain,8,None,1,32b4cad3a85151844bde1f88911d6826,0.915747,0.963656,361.0,135.0,201.0,983.0,746303.0,796299.0
CUDA,CG,BJ,5,1,0,uc2n482.localdomain,2,None,1,5b623731b78954b0b83cdd9c4388ac70,0.914162,0.970225,386.0,135.0,213.0,1067.0,746676.0,802733.0
CUDA,CG,BJ,5,1,0,uc2n482.localdomain,4,None,1,2c1be760c1e5b08e9261f4e80c13223e,0.915689,0.970286,384.0,135.0,205.0,996.0,748765.0,801605.0
CUDA,CG,BJ,5,1,0,uc2n482.localdomain,1,None,1,a841b430a4a38f0830a0384e56d13608,0.910175,0.971165,404.0,135.0,216.0,1011.0,747041.0,801729.0
CUDA,BiCGStab,ILU,5,1,0,uc2n482.localdomain,None,None,1,cc076379015de5a12dea91a849c05a33,0.909445,0.954202,85.0,135.0,213.0,996.0,745268.0,783615.0
CUDA,BiCGStab,NoPrecond,5,1,0,uc2n482.localdomain,None,None,1,d8f262b1d1a0776b2d4614bf0bab49f7,0.915065,1.005116,303.0,135.0,201.0,1010.0,754316.0,834329.0
CUDA,CG,NoPrecond,5,1,0,uc2n482.localdomain,None,None,1,e07569c4c1bc0a01bef0f383c7b3a1de,0.91277,0.977149,441.0,135.0,183.0,984.0,747576.0,808463.0
CUDA,IR,NoPrecond,5,1,0,uc2n482.localdomain,None,0.1,1,eb1dd413995d1c673c0e8762d6d8f239,0.919251,1.018847,64.0,135.0,212.0,980.0,753608.0,847102.0
CUDA,IR,NoPrecond,5,1,0,uc2n482.localdomain,None,0.01,1,c367b24572e5506c3afcc3e2cb59cc9a,0.917552,0.996122,36.0,135.0,202.0,983.0,750266.0,825620.0
CUDA,IR,NoPrecond,5,1,0,uc2n482.localdomain,None,0.05,1,ca7e977b2ad8d91b3a16753accc68239,0.924691,1.011347,51.0,135.0,198.0,975.0,757589.0,842066.0
CUDA,IR,NoPrecond,5,1,0,uc2n482.localdomain,None,0.001,1,56c5d161df18bb672a8835f463af38df,0.911459,1.00032,26.0,135.0,219.0,992.0,746862.0,825369.0
CUDA,CG,ILU,5,1,0,uc2n482.localdomain,None,None,1,936419937403beb314f12fe7de7304a9,0.911075,0.953593,156.0,135.0,203.0,991.0,748476.0,783567.0
CUDA,BiCGStab,BJ,5,1,0,uc2n482.localdomain,None,None,1,857cc683776b05c9efed60f051498dc9,0.908244,0.969591,196.0,135.0,202.0,967.0,746865.0,800107.0
CUDA,CG,BJ,15,1,0,uc2n482.localdomain,16,None,1,83b2b0d8103948c1e2c4394c5daf33f8,0.979679,1.217646,1590.0,135.0,2514.0,17475.0,789362.0,982741.0
CUDA,CG,BJ,15,1,0,uc2n482.localdomain,8,None,1,defa7eb6d075ad48b46d4822f47a11b2,0.97989,1.22032,1599.0,135.0,2514.0,17831.0,790413.0,984968.0
CUDA,CG,BJ,15,1,0,uc2n482.localdomain,2,None,1,f1f99f99d01e475dfdc5eb9d8aa0dd3b,0.975626,1.219975,1606.0,135.0,2526.0,17462.0,789567.0,983874.0
CUDA,CG,BJ,15,1,0,uc2n482.localdomain,4,None,1,9bdedecc9de238b47cb77f8556e5dce1,0.979189,1.217889,1593.0,135.0,2482.0,17724.0,790264.0,984430.0
CUDA,CG,BJ,15,1,0,uc2n482.localdomain,1,None,1,f77e53d05f902360878d63780190f5c6,0.980511,1.236789,1732.0,135.0,2605.0,17547.0,791565.0,1000626.0
CUDA,BiCGStab,ILU,15,1,0,uc2n482.localdomain,None,None,1,6140446562e3fc93403fc1ee6fdfcc88,0.981034,1.256708,434.0,135.0,2494.0,17404.0,798334.0,1022942.0
CUDA,BiCGStab,NoPrecond,15,1,0,uc2n482.localdomain,None,None,1,db7d6ad349a1d2f66095e6c10eebd522,1.01438,1.384225,1408.0,135.0,2487.0,17499.0,825974.0,1154379.0
CUDA,CG,NoPrecond,15,1,0,uc2n482.localdomain,None,None,1,92d57d2d3be72f72c095b64531aa25ed,0.98673,1.270604,1882.0,135.0,2481.0,17577.0,794672.0,1029143.0
CUDA,IR,NoPrecond,15,1,0,uc2n482.localdomain,None,0.1,1,6abd287a62367afcc6bcb3f84c3612cb,1.007931,1.341904,82.0,135.0,2499.0,17582.0,823753.0,1102126.0
CUDA,IR,NoPrecond,15,1,0,uc2n482.localdomain,None,0.01,1,86eb64d55960f4036926f3166dfc2c45,0.974472,1.277699,43.0,135.0,2464.0,17495.0,795868.0,1037365.0
CUDA,IR,NoPrecond,15,1,0,uc2n482.localdomain,None,0.05,1,1a2a9acec195bafc15dd50de5c523131,0.981929,1.305449,64.0,135.0,2503.0,17938.0,800577.0,1061522.0
CUDA,IR,NoPrecond,15,1,0,uc2n482.localdomain,None,0.001,1,a5e567d5a0e4cef02a4a5c3b14a7ff43,0.988461,1.296485,35.0,135.0,2359.0,17304.0,804901.0,1059478.0
CUDA,CG,ILU,15,1,0,uc2n482.localdomain,None,None,1,3c38cbdf757079204c61e49db48b7293,0.964881,1.161059,592.0,135.0,2508.0,17619.0,780131.0,931228.0
CUDA,BiCGStab,BJ,15,1,0,uc2n482.localdomain,None,None,1,aae0c3c6357a6adf339a6114bb7b4106,0.97605,1.299964,1072.0,135.0,2500.0,17489.0,813504.0,1071596.0
CUDA,CG,BJ,90,1,0,uc2n482.localdomain,16,None,1,f3b5351ab24a9415badfba364c36eb8a,14.299803,36.958526,11043.0,135.0,780010.0,6565068.0,9565553.0,20156712.0
CUDA,CG,BJ,90,1,0,uc2n482.localdomain,8,None,1,8b87f08ee81394fa677166cdb395c6e7,14.362292,36.323942,11092.0,135.0,796151.0,6678699.0,9454703.0,19466288.0
CUDA,CG,BJ,90,1,0,uc2n482.localdomain,2,None,1,1fca688d87d2840b27af90b15d7d36c9,14.333198,35.958032,12051.0,135.0,775151.0,6529779.0,9488529.0,19476794.0
CUDA,CG,BJ,90,1,0,uc2n482.localdomain,4,None,1,9c2f7b0a7fa267e2de589e55b241b768,14.286484,36.097669,11264.0,135.0,795041.0,6679936.0,9475263.0,19372559.0
CUDA,CG,BJ,90,1,0,uc2n482.localdomain,1,None,1,56f143b2883f7f3a47895343c6aa6414,14.223973,37.434025,13195.0,135.0,797544.0,6696504.0,9546435.0,20568439.0
CUDA,BiCGStab,ILU,90,1,0,uc2n482.localdomain,None,None,1,702e726b91f9a73f93ecc24c6ab0847d,17.673518,66.821523,3263.0,135.0,777409.0,6556208.0,12740356.0,47102372.0
CUDA,BiCGStab,NoPrecond,90,1,0,uc2n482.localdomain,None,None,1,6767d2d37f5247c627a123dc6e4af2d2,16.642612,44.757405,10142.0,135.0,790951.0,6683462.0,10368900.0,26901363.0
CUDA,CG,NoPrecond,90,1,0,uc2n482.localdomain,None,None,1,baaae8f274658d0162d44acad5d9409d,14.527528,37.873986,13372.0,135.0,801364.0,6680307.0,9617572.0,20936194.0
CUDA,IR,NoPrecond,90,1,0,uc2n482.localdomain,None,0.1,1,b0ef31d7be668094c2ab1085b89c1a72,13.967653,31.924675,111.0,135.0,786506.0,6597652.0,9077197.0,15744148.0
CUDA,IR,NoPrecond,90,1,0,uc2n482.localdomain,None,0.01,1,b182ebf5f010c1dc0cbf0bac896f4e6d,13.906911,31.123284,57.0,135.0,787372.0,6528554.0,9086981.0,15125897.0
CUDA,IR,NoPrecond,90,1,0,uc2n482.localdomain,None,0.05,1,e6c0291432e2c73111b54e5438e729bb,13.861077,31.964301,90.0,135.0,782472.0,6605563.0,9006370.0,15698051.0
CUDA,IR,NoPrecond,90,1,0,uc2n482.localdomain,None,0.001,1,42ef58b84dc28f9bc2baa01fd2064127,13.974751,31.23327,39.0,135.0,781149.0,6549726.0,9220522.0,14889159.0
CUDA,CG,ILU,90,1,0,uc2n482.localdomain,None,None,1,7521007cc94614dbf51d98c56c0bd90a,16.190589,52.281127,4244.0,135.0,805414.0,6567741.0,11369427.0,33841231.0
CUDA,BiCGStab,BJ,90,1,0,uc2n482.localdomain,None,None,1,ac9375f249174b897f921f7d881a74f3,15.169766,42.945644,8120.0,135.0,796930.0,6668901.0,10280363.0,25489126.0
CUDA,CG,BJ,75,1,0,uc2n482.localdomain,16,None,1,1c647671511680a6fb035dd1543ef249,8.455447,20.798529,8577.0,135.0,442844.0,3676131.0,5714154.0,11255473.0
CUDA,CG,BJ,75,1,0,uc2n482.localdomain,8,None,1,913bb2e59a71d958172c3dbb008f5157,8.519492,20.531592,8598.0,135.0,440064.0,3670316.0,5642103.0,11121821.0
CUDA,CG,BJ,75,1,0,uc2n482.localdomain,2,None,1,f1f2189a1cbf909a8ef898fd29aa54f4,8.639462,20.322912,8911.0,135.0,436714.0,3685944.0,5664601.0,10901787.0
CUDA,CG,BJ,75,1,0,uc2n482.localdomain,4,None,1,ccd8d8444d8bd910d84f6c17c8b529cc,8.489126,20.61492,8665.0,135.0,447423.0,3742232.0,5649131.0,11040409.0
CUDA,CG,BJ,75,1,0,uc2n482.localdomain,1,None,1,cbb4d42c12a21acfe437617f64c3548d,8.812138,20.89333,10180.0,135.0,436674.0,3654550.0,5656454.0,11404977.0
CUDA,BiCGStab,ILU,75,1,0,uc2n482.localdomain,None,None,1,a81ccc77d795f0ee1733fde3a39081ab,10.044309,30.49326,1985.0,135.0,441325.0,3701532.0,7126931.0,19641992.0
CUDA,BiCGStab,NoPrecond,75,1,0,uc2n482.localdomain,None,None,1,53af27c75b6184d30ba0323b4dbe0a37,8.92642,25.424108,8200.0,135.0,443594.0,3719349.0,6090214.0,15417120.0
CUDA,CG,NoPrecond,75,1,0,uc2n482.localdomain,None,None,1,cadf4c548cc455cc7f88f9f5fde3deb0,8.520069,21.069726,10348.0,135.0,439879.0,3675329.0,5678592.0,11573487.0
CUDA,IR,NoPrecond,75,1,0,uc2n482.localdomain,None,0.1,1,144fcfdbf649d7dfc5427c75b442480e,8.207211,17.927584,105.0,135.0,440518.0,3695115.0,5388465.0,8788716.0
CUDA,IR,NoPrecond,75,1,0,uc2n482.localdomain,None,0.01,1,7a17d7fdb138cdba8bb7f720f4d16254,8.205256,17.802371,56.0,135.0,436935.0,3662321.0,5352294.0,8682128.0
CUDA,IR,NoPrecond,75,1,0,uc2n482.localdomain,None,0.05,1,8754d8ebb3ee790b90687bae4630e788,8.174736,17.794039,82.0,135.0,435527.0,3650790.0,5363769.0,8722110.0
CUDA,IR,NoPrecond,75,1,0,uc2n482.localdomain,None,0.001,1,a6b3c7bae0866ad7caa0b2bd09230b00,8.215665,17.601529,38.0,135.0,438837.0,3657295.0,5352317.0,8482122.0
CUDA,CG,ILU,75,1,0,uc2n482.localdomain,None,None,1,5018fea939cf32763af849d20d50f7c2,9.300043,27.154842,3279.0,135.0,437968.0,3666015.0,6473719.0,16999646.0
CUDA,BiCGStab,BJ,75,1,0,uc2n482.localdomain,None,None,1,e743f97e19fe95bfa0d17d3bffe0b9d6,8.876713,24.205428,6616.0,135.0,444345.0,3717528.0,6076028.0,14372096.0
CUDA,CG,BJ,40,1,0,uc2n482.localdomain,16,None,1,eceed5415f017d88f60e66ee5ef50889,1.931796,3.37294,4503.0,135.0,54652.0,443891.0,1411348.0,2015074.0
CUDA,CG,BJ,40,1,0,uc2n482.localdomain,8,None,1,87c292f10703154e555bbf8c334a642f,1.925538,3.287565,4477.0,135.0,53604.0,433027.0,1379699.0,1953155.0
CUDA,CG,BJ,40,1,0,uc2n482.localdomain,2,None,1,b634335159c8abc8739eb925bc4d7ef1,1.931933,3.346375,4861.0,135.0,52758.0,430646.0,1391505.0,2005622.0
CUDA,CG,BJ,40,1,0,uc2n482.localdomain,4,None,1,1551fa2ad0ff0947fe882bc7291e2bb4,1.932661,3.337608,4613.0,135.0,53219.0,433369.0,1401990.0,2006739.0
CUDA,CG,BJ,40,1,0,uc2n482.localdomain,1,None,1,9e790bc673540f7dcf170cca7c646fa6,1.939257,3.454528,5305.0,135.0,54378.0,435862.0,1404799.0,2086586.0
CUDA,BiCGStab,ILU,40,1,0,uc2n482.localdomain,None,None,1,edfa14383cc398fa4668c39274bf0dbf,2.105677,4.514784,1207.0,135.0,54158.0,436133.0,1560742.0,3142666.0
CUDA,BiCGStab,NoPrecond,40,1,0,uc2n482.localdomain,None,None,1,6035705e5cea29bcfa67c79337720bb7,2.005675,3.606067,3336.0,135.0,54915.0,448101.0,1455590.0,2255774.0
CUDA,CG,NoPrecond,40,1,0,uc2n482.localdomain,None,None,1,2ee2fce9f3ccbd37d74b651cd519d3be,1.949169,3.446861,5440.0,135.0,53331.0,438143.0,1395891.0,2095258.0
CUDA,IR,NoPrecond,40,1,0,uc2n482.localdomain,None,0.1,1,d51862fcc79bc2ba9bfb65681ede577d,1.985356,3.602248,91.0,135.0,54958.0,448291.0,1453196.0,2222476.0
CUDA,IR,NoPrecond,40,1,0,uc2n482.localdomain,None,0.01,1,ab14bcad391976ada2cd71432756b7ab,1.95731,3.48722,50.0,135.0,53693.0,437293.0,1408169.0,2132774.0
CUDA,IR,NoPrecond,40,1,0,uc2n482.localdomain,None,0.05,1,3cecc4b2422a75cab90802b40ae842e1,1.98367,3.521883,72.0,135.0,52998.0,429973.0,1422502.0,2176223.0
CUDA,IR,NoPrecond,40,1,0,uc2n482.localdomain,None,0.001,1,8817d4084cfbecdee990457243558198,1.949595,3.524936,37.0,135.0,55069.0,439612.0,1410671.0,2145525.0
CUDA,CG,ILU,40,1,0,uc2n482.localdomain,None,None,1,54749ebea8bcc27d8a64c17cbf0a1e05,2.032871,4.052389,1739.0,135.0,54524.0,436612.0,1496414.0,2652245.0
CUDA,BiCGStab,BJ,40,1,0,uc2n482.localdomain,None,None,1,333697abff9b8c92a2ec0659e3dae35c,1.968718,3.471627,2682.0,135.0,52954.0,437680.0,1439676.0,2150756.0
CUDA,CG,BJ,25,1,0,uc2n482.localdomain,16,None,1,cbfc19aae8fdf23bd7f84bf739cddc20,1.186854,1.701268,2820.0,135.0,11701.0,89869.0,918561.0,1264693.0
CUDA,CG,BJ,25,1,0,uc2n482.localdomain,8,None,1,263dbf4da62d7233d22dc077a4fb12b0,1.182144,1.71117,2823.0,135.0,11710.0,90964.0,924277.0,1270461.0
CUDA,CG,BJ,25,1,0,uc2n482.localdomain,2,None,1,bfc1057519fc52bdc6b022da737b2d92,1.171975,1.716913,2839.0,135.0,12077.0,90735.0,938147.0,1277357.0
CUDA,CG,BJ,25,1,0,uc2n482.localdomain,4,None,1,da4bce77245fb2a292a76583edfec81f,1.169336,1.705221,2799.0,135.0,11301.0,89719.0,930179.0,1269645.0
CUDA,CG,BJ,25,1,0,uc2n482.localdomain,1,None,1,90cf070c99edc8ed744b9587d423afff,1.172298,1.756218,3120.0,135.0,11327.0,90299.0,936187.0,1314457.0
CUDA,BiCGStab,ILU,25,1,0,uc2n482.localdomain,None,None,1,e10f1e579facfa93b35a5fe68c9b0e5e,1.213524,1.938803,745.0,135.0,11324.0,89714.0,964671.0,1474611.0
CUDA,BiCGStab,NoPrecond,25,1,0,uc2n482.localdomain,None,None,1,1de65562feb6daecb6b84df5aa4b3e41,1.223529,2.040215,2530.0,135.0,11950.0,95872.0,980044.0,1578222.0
CUDA,CG,NoPrecond,25,1,0,uc2n482.localdomain,None,None,1,1fc1fcce6c0a0729c7701c612849ec7f,1.193664,1.790674,3249.0,135.0,11743.0,90730.0,934868.0,1340035.0
CUDA,IR,NoPrecond,25,1,0,uc2n482.localdomain,None,0.1,1,77d5030d5d0418e634c1f75d5c7c109b,1.202751,1.824921,85.0,135.0,11756.0,91085.0,937232.0,1367178.0
CUDA,IR,NoPrecond,25,1,0,uc2n482.localdomain,None,0.01,1,fbba0de1c524257e790ed8fb379a25f9,1.193953,1.806741,46.0,135.0,11669.0,91058.0,937907.0,1355213.0
CUDA,IR,NoPrecond,25,1,0,uc2n482.localdomain,None,0.05,1,c7818e040ad4e5e512b8f99cbe735f61,1.19207,1.800011,67.0,135.0,11765.0,91628.0,941511.0,1349152.0
CUDA,IR,NoPrecond,25,1,0,uc2n482.localdomain,None,0.001,1,53abbc64a8b77dca67019d978c3d7099,1.176144,1.82655,37.0,135.0,11422.0,91624.0,943887.0,1369744.0
CUDA,CG,ILU,25,1,0,uc2n482.localdomain,None,None,1,b86ebe6211af4cd88c2d3c8417401266,1.183666,1.75315,1032.0,135.0,11434.0,89685.0,939486.0,1307320.0
