executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 07:54:36 up 71 days, 13:04,  1 user,  load average: 0.04, 0.43, 0.46', 'Tasks: 943 total,   1 running, 942 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 135086.0 free,   3226.0 used, 377277.8 buff/cache', 'MiB Swap:   4096.0 total,   4075.0 free,     21.0 used. 509281.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2295266 greole    20   0   66240   5868   4220 R   5.9   0.0   0:00.02 top', '      1 root      20   0  251644  13772   7072 S   0.0   0.0   0:28.13 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.61 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     10 root      20   0       0      0      0 S   0.0   0.0   0:01.04 ksoftirqd/0', '     11 root      20   0       0      0      0 I   0.0   0.0   5:01.39 rcu_sched'], 'uptime': ' 07:54:36 up 71 days, 13:04,  1 user,  load average: 0.04, 0.43, 0.46\n', 'libOGL.so': '2f3a0d09a31fbe08a30f8bf83295cb7e  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
HIP,CG,BJ,85,None,0,nla-gpu2.ianm.kit.edu,2,None,1,577d6f2dfd0a2901fa4a4d52b3e80b9a,12.941113,24.903993,10775.0,135.0,544541.0,4554477.0,8003975.0,12583229.0
HIP,CG,BJ,85,None,0,nla-gpu2.ianm.kit.edu,16,None,1,ebc906f52ba7bcc51b1014854896a0d3,12.578876,25.898179,10301.0,135.0,540408.0,4520986.0,8096316.0,13411159.0
HIP,CG,BJ,85,None,0,nla-gpu2.ianm.kit.edu,1,None,1,8cffe7de17393249d1676009ca754348,11.704926,25.500602,12322.0,135.0,548792.0,4565176.0,8026148.0,13022195.0
HIP,CG,BJ,85,None,0,nla-gpu2.ianm.kit.edu,4,None,1,8932faca06f8143837e96955fc4f50bf,12.071097,25.310538,10416.0,135.0,540025.0,4563378.0,7880549.0,12612143.0
HIP,CG,BJ,85,None,0,nla-gpu2.ianm.kit.edu,8,None,1,c40d1eb17c6feba19daa726c05d4e267,11.817236,25.19052,10322.0,135.0,524633.0,4471470.0,8093893.0,12977431.0
HIP,IR,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,864713798ebde1cb5e22cb167ce633a0,11.883197,24.715607,86.0,135.0,533889.0,4556045.0,7070734.0,12328220.0
HIP,IR,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,115a9f3fc9cf98bd3fa8c2a3c60b8991,12.392358,24.633188,57.0,135.0,524135.0,4438765.0,7482091.0,12524248.0
HIP,IR,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,946282852d1646d02de515d720c22686,12.032122,25.146621,110.0,135.0,526129.0,4469842.0,7679955.0,13025948.0
HIP,IR,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,a8d0e3020ff4f56b5b4af15d7e8051b2,12.402539,23.532572,39.0,135.0,524954.0,4446411.0,6768539.0,11456567.0
HIP,BiCGStab,BJ,85,None,0,nla-gpu2.ianm.kit.edu,None,None,1,69df4266c6c1a40bbfa0c3b4fa4a189a,12.684549,27.153045,6911.0,135.0,524563.0,4461647.0,8356543.0,15165493.0
HIP,BiCGStab,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,None,1,e93f2ddeda3daa53ec9253050d1e9547,12.056226,28.115074,9895.0,135.0,523009.0,4453900.0,8032849.0,15730359.0
HIP,CG,ILU,85,None,0,nla-gpu2.ianm.kit.edu,None,None,1,a8aa7df454a51e9ff6ab572bc4bc2399,11.782882,29.938325,3976.0,135.0,525938.0,4447600.0,8140313.0,17303086.0
HIP,CG,NoPrecond,85,None,0,nla-gpu2.ianm.kit.edu,None,None,1,8317690af9958ed39208ce105c5557da,11.675641,24.410516,12487.0,135.0,526879.0,4458165.0,7480979.0,12312710.0
HIP,BiCGStab,ILU,85,None,0,nla-gpu2.ianm.kit.edu,None,None,1,cc5ded11c459ff73235400233060b9a6,12.98125,35.316535,2832.0,135.0,526098.0,4422997.0,9192349.0,22166015.0
HIP,CG,BJ,95,None,0,nla-gpu2.ianm.kit.edu,2,None,1,87381c7557af7b6c9a266441437c0f2b,17.545041,34.410996,12349.0,135.0,749468.0,6300822.0,10876659.0,17436324.0
HIP,CG,BJ,95,None,0,nla-gpu2.ianm.kit.edu,16,None,1,63027b3ab51d940d901c386e79bf11e9,17.357002,35.867973,12031.0,135.0,742085.0,6319534.0,11326133.0,18833569.0
HIP,CG,BJ,95,None,0,nla-gpu2.ianm.kit.edu,1,None,1,08456a8bb644c0d4887944e994eb442a,16.579102,34.550237,14063.0,135.0,749670.0,6320718.0,10625409.0,17664213.0
HIP,CG,BJ,95,None,0,nla-gpu2.ianm.kit.edu,4,None,1,5d6e0ed85712c193505bea6de415a184,16.816443,33.993019,11998.0,135.0,742524.0,6341861.0,10923080.0,17064958.0
HIP,CG,BJ,95,None,0,nla-gpu2.ianm.kit.edu,8,None,1,840e320dc7f60d177e55c685e0e7220c,17.721976,34.78138,12030.0,135.0,741013.0,6285340.0,10884618.0,17856727.0
HIP,IR,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,c1eeee737bc1537a0103f99ccf84bae1,16.993434,34.958998,90.0,135.0,749766.0,6275279.0,10366368.0,17964756.0
HIP,IR,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,8560d815833a1e52fdd12880ee023794,15.397046,34.08542,55.0,135.0,742099.0,6318961.0,10180311.0,17111455.0
HIP,IR,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,0d8430da07c145bd7ed17857843c5220,16.246496,35.268806,109.0,135.0,743537.0,6343224.0,10507606.0,18050268.0
HIP,IR,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,479c0085f5846086747590ac798eca03,16.347819,32.916003,37.0,135.0,748356.0,6269315.0,9630647.0,16023817.0
HIP,BiCGStab,BJ,95,None,0,nla-gpu2.ianm.kit.edu,None,None,1,8320ee78f96534c29e381ccfe19720b5,17.635606,38.77521,8496.0,135.0,742939.0,6274213.0,11829204.0,22097132.0
HIP,BiCGStab,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,None,1,c4923b6767a1986ff8e6eb062dc4f846,17.420544,37.644802,10766.0,135.0,749761.0,6311246.0,10827110.0,20552491.0
HIP,CG,ILU,95,None,0,nla-gpu2.ianm.kit.edu,None,None,1,c4c2a9af44543d90306961d6b0853383,17.19796,42.004963,4508.0,135.0,744713.0,6299008.0,11121697.0,24294364.0
HIP,CG,NoPrecond,95,None,0,nla-gpu2.ianm.kit.edu,None,None,1,a4bd9c36b4f941754404f21ff0f82220,16.228304,33.537907,14245.0,135.0,742129.0,6255764.0,9691082.0,16688569.0
HIP,BiCGStab,ILU,95,None,0,nla-gpu2.ianm.kit.edu,None,None,1,6a8cd3fede1cf786fcc70ab577135aa0,18.092047,47.492581,3153.0,135.0,743609.0,6299120.0,12029430.0,30172402.0
HIP,CG,BJ,100,None,0,nla-gpu2.ianm.kit.edu,2,None,1,6212af1903ffab4d1235376aada8c7ad,19.429941,39.727399,13220.0,135.0,874551.0,7454445.0,12776944.0,20098383.0
HIP,CG,BJ,100,None,0,nla-gpu2.ianm.kit.edu,16,None,1,61693e3f10c453391e9f9d05fb89abf8,19.633943,39.550929,12032.0,135.0,873069.0,7377356.0,12005903.0,20089029.0
HIP,CG,BJ,100,None,0,nla-gpu2.ianm.kit.edu,1,None,1,6caaf6326e69742f7166695f5bac4c32,19.065392,39.536066,14481.0,135.0,878459.0,7461102.0,12252591.0,20020775.0
HIP,CG,BJ,100,None,0,nla-gpu2.ianm.kit.edu,4,None,1,3fe9a0c4e26fe6c948fc46639d7b0dba,19.067288,39.276469,12533.0,135.0,880435.0,7417793.0,12586370.0,19834694.0
HIP,CG,BJ,100,None,0,nla-gpu2.ianm.kit.edu,8,None,1,590646e6f5739956552888d8b00366a9,19.580755,39.689798,12151.0,135.0,886338.0,7414944.0,12778249.0,20304973.0
HIP,IR,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,a134ae2b04d2144ee66c317e29961f9d,18.687797,39.245467,79.0,135.0,880185.0,7372984.0,12247938.0,19973682.0
HIP,IR,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,8184877f3472fab1a03eca78b70255c4,18.763164,39.555967,54.0,135.0,893986.0,7479407.0,11578441.0,19594741.0
HIP,IR,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,47efeab5d683c6251a75fba8106f0a47,18.609002,40.248232,105.0,135.0,879797.0,7397175.0,12438767.0,20717768.0
HIP,IR,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,fe89756ccdd8adc2fd531ff68e925ba2,18.581865,37.58704,36.0,135.0,877433.0,7339493.0,10888291.0,18247421.0
HIP,BiCGStab,BJ,100,None,0,nla-gpu2.ianm.kit.edu,None,None,1,1090495efba6aa4ce585fd1a192d30cb,20.265615,45.527978,9287.0,135.0,871817.0,7388087.0,13418582.0,25515857.0
HIP,BiCGStab,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,None,1,c083c2cf1d4e85e8d181d1ec54983954,19.467584,44.149719,11381.0,135.0,880150.0,7425420.0,12764151.0,24082051.0
HIP,CG,ILU,100,None,0,nla-gpu2.ianm.kit.edu,None,None,1,174601d98f1858e98db0ada31faf492e,19.542326,48.587841,4654.0,135.0,875140.0,7384167.0,12954103.0,28225237.0
HIP,CG,NoPrecond,100,None,0,nla-gpu2.ianm.kit.edu,None,None,1,68d5fa1f321fabace34f31c0fb5d2522,18.785886,39.83622,14598.0,135.0,879577.0,7373176.0,12526160.0,20347530.0
HIP,BiCGStab,ILU,100,None,0,nla-gpu2.ianm.kit.edu,None,None,1,4d13a93570b4162916f0aeccf1737d4c,20.678926,56.611905,3301.0,135.0,875880.0,7433837.0,13725889.0,35422318.0
HIP,CG,BJ,90,None,0,nla-gpu2.ianm.kit.edu,2,None,1,0beb011768eeb5f21f61c3ef350f0232,14.126385,29.326645,12051.0,135.0,630604.0,5308053.0,9370622.0,14792592.0
HIP,CG,BJ,90,None,0,nla-gpu2.ianm.kit.edu,16,None,1,9b10701a2209bc54b8bac295b101c88d,14.940891,29.941203,11043.0,135.0,627441.0,5270398.0,9277214.0,15504745.0
HIP,CG,BJ,90,None,0,nla-gpu2.ianm.kit.edu,1,None,1,4b9dfdd4807c941ae3b1674ad52bff39,13.698908,29.215955,13195.0,135.0,636628.0,5365149.0,8821273.0,14688373.0
HIP,CG,BJ,90,None,0,nla-gpu2.ianm.kit.edu,4,None,1,ee9cd3113089415ebfc06744ac36eaab,14.605984,29.328307,11264.0,135.0,629322.0,5286657.0,9655743.0,15060378.0
HIP,CG,BJ,90,None,0,nla-gpu2.ianm.kit.edu,8,None,1,cd0e59e8f7dfb8f1bddf92e27e429543,14.492824,29.402794,11092.0,135.0,630790.0,5298362.0,9162063.0,14928535.0
HIP,IR,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,458924e9b1875e38e2cd9e0d73ff3d95,14.048208,30.013428,90.0,135.0,631563.0,5285252.0,9153692.0,15602692.0
HIP,IR,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,d159ecf0c5f9223ed3cfb8131bdf2920,13.51801,29.510705,57.0,135.0,633803.0,5328272.0,9011415.0,14945885.0
HIP,IR,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,0cdd519aec33af2da99491a9d6856cf4,13.755065,30.064922,111.0,135.0,630570.0,5340408.0,9009099.0,15435786.0
HIP,IR,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,f903647beb88d30dbd761938ac0ed746,13.859711,28.412043,39.0,135.0,631951.0,5321714.0,8479836.0,13964099.0
HIP,BiCGStab,BJ,90,None,0,nla-gpu2.ianm.kit.edu,None,None,1,9d78b9d85110dbf7f4174d88d5e9a4cf,14.743471,33.73302,8501.0,135.0,643142.0,5342369.0,9344793.0,18598334.0
HIP,BiCGStab,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,None,1,283a5cc241856ab4dda811f4137c2958,14.710623,33.293221,10284.0,135.0,646560.0,5387280.0,9771272.0,18124719.0
HIP,CG,ILU,90,None,0,nla-gpu2.ianm.kit.edu,None,None,1,1e4ed4464243fb5b7e35aae371767b9b,14.180243,35.83305,4244.0,135.0,636607.0,5273189.0,9784034.0,20790296.0
HIP,CG,NoPrecond,90,None,0,nla-gpu2.ianm.kit.edu,None,None,1,79c6775af690f046d232d9c02f131de9,14.238791,28.617257,13371.0,135.0,630867.0,5294427.0,8444409.0,14228471.0
HIP,BiCGStab,ILU,90,None,0,nla-gpu2.ianm.kit.edu,None,None,1,3384dbd019c271f850592cf7d9f49de0,15.518731,39.406508,2802.0,135.0,632370.0,5328691.0,10351157.0,24627702.0
HIP,CG,BJ,80,None,0,nla-gpu2.ianm.kit.edu,2,None,1,c00479b925fe83782852eec2c896d625,10.336016,20.094648,10439.0,135.0,434932.0,3663190.0,6574399.0,10412635.0
HIP,CG,BJ,80,None,0,nla-gpu2.ianm.kit.edu,16,None,1,89fec1718f209e2eb0f39734b4151443,10.245878,20.297364,9462.0,135.0,438550.0,3681005.0,6503962.0,10568614.0
HIP,CG,BJ,80,None,0,nla-gpu2.ianm.kit.edu,1,None,1,e99d38c7451929bf3786283d846247c6,9.826421,19.842352,11429.0,135.0,437339.0,3718494.0,6064596.0,10022261.0
HIP,CG,BJ,80,None,0,nla-gpu2.ianm.kit.edu,4,None,1,0f56594f2a0b42d0fc4d346ed9e10edd,9.697793,19.57019,9889.0,135.0,441812.0,3668684.0,6109283.0,9857438.0
HIP,CG,BJ,80,None,0,nla-gpu2.ianm.kit.edu,8,None,1,d439fa51a2e99ab349b9c84b4a4f90c0,10.182002,20.219964,9607.0,135.0,436221.0,3696375.0,6601147.0,10474236.0
HIP,IR,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,288b6048e243751feea2c42f2d4efeeb,9.316004,20.469108,84.0,135.0,436262.0,3659562.0,6422060.0,10653465.0
HIP,IR,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,8466881d80df95bc2e247c47b1a0abc1,9.502767,20.84661,57.0,135.0,452435.0,3761140.0,6301435.0,10596076.0
HIP,IR,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,83e5aedd5c0b0172b49968b1b3fc7101,9.752891,20.146505,105.0,135.0,435778.0,3719363.0,5836267.0,10229013.0
HIP,IR,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,773d1172faf25b5f8378f7eac22f142d,9.767988,20.050616,39.0,135.0,441390.0,3700794.0,6105792.0,10077010.0
HIP,BiCGStab,BJ,80,None,0,nla-gpu2.ianm.kit.edu,None,None,1,f663f431ce83dee4040b6394dcae502b,10.446019,23.211352,7196.0,135.0,439405.0,3624366.0,7029947.0,13079057.0
HIP,BiCGStab,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,None,1,bd2c1735fc9b8ef5d542e4ca1c5c68ed,9.572976,22.663238,8985.0,135.0,442460.0,3712564.0,6090657.0,12384707.0
HIP,CG,ILU,80,None,0,nla-gpu2.ianm.kit.edu,None,None,1,afd57ab508db9e31d3e95ce809440644,10.463001,24.172508,3679.0,135.0,442961.0,3673363.0,6662148.0,14164549.0
HIP,CG,NoPrecond,80,None,0,nla-gpu2.ianm.kit.edu,None,None,1,35d552e333ee3ad7a93ce2a9d3818f80,9.312793,20.079856,11532.0,135.0,443691.0,3690250.0,6209371.0,10235027.0
HIP,BiCGStab,ILU,80,None,0,nla-gpu2.ianm.kit.edu,None,None,1,427978dca7a60703b4fea4b93b76fd1a,10.712792,27.108809,2464.0,135.0,436162.0,3690720.0,7073556.0,16948827.0
HIP,CG,BJ,5,None,0,nla-gpu2.ianm.kit.edu,2,None,1,f5f89b8d05cc707c60cf15ffbbd74400,0.667072,0.735451,386.0,135.0,178.0,1076.0,520319.0,574856.0
HIP,CG,BJ,5,None,0,nla-gpu2.ianm.kit.edu,16,None,1,eecae0121d130b48257a7a8ba21c4ecd,0.665917,0.708274,315.0,135.0,177.0,1036.0,513120.0,550834.0
HIP,CG,BJ,5,None,0,nla-gpu2.ianm.kit.edu,1,None,1,bfd0546457a1545c772749dc44d69067,0.647216,0.711379,404.0,135.0,182.0,1091.0,495116.0,553422.0
HIP,CG,BJ,5,None,0,nla-gpu2.ianm.kit.edu,4,None,1,7c973138c85bb01f2ccdd15998fcd21d,0.67079,0.733476,384.0,135.0,176.0,1066.0,518083.0,574724.0
HIP,CG,BJ,5,None,0,nla-gpu2.ianm.kit.edu,8,None,1,f907386256365342b98ecfe215d80bd3,0.671041,0.729376,361.0,135.0,179.0,1093.0,518893.0,571342.0
HIP,IR,NoPrecond,5,None,0,nla-gpu2.ianm.kit.edu,None,0.05,1,c983810cf782f5a2a8421735c2c26fea,0.619069,0.717721,51.0,135.0,175.0,1082.0,472584.0,560041.0
HIP,IR,NoPrecond,5,None,0,nla-gpu2.ianm.kit.edu,None,0.01,1,d3b2a33cb9acc38a0056c0901f7ea7db,0.614051,0.704533,36.0,135.0,176.0,1077.0,467292.0,546654.0
HIP,IR,NoPrecond,5,None,0,nla-gpu2.ianm.kit.edu,None,0.1,1,008790eacc66903184aafcfd0d4614b5,0.618375,0.727102,64.0,135.0,177.0,1096.0,473716.0,570558.0
HIP,IR,NoPrecond,5,None,0,nla-gpu2.ianm.kit.edu,None,0.001,1,466b3061551eb8bfbc6cfbe013873202,0.612681,0.711457,26.0,135.0,183.0,1088.0,462853.0,548060.0
HIP,BiCGStab,BJ,5,None,0,nla-gpu2.ianm.kit.edu,None,None,1,29c414204fb401a3f9cc8f744f7e5900,0.665884,0.712609,196.0,135.0,185.0,1043.0,513404.0,559646.0
HIP,BiCGStab,NoPrecond,5,None,0,nla-gpu2.ianm.kit.edu,None,None,1,4f3674b0f6ca0dddc54892b3a741f6c6,0.612466,0.682248,303.0,135.0,177.0,1039.0,458127.0,531415.0
