executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,processes,innerReductionFactor,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n452.localdomain\n', 'top': ['top - 17:49:56 up 47 days, 18:58,  0 users,  load average: 11.08, 13.58, 15.50', 'Tasks: 1030 total,   1 running, 1029 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 22.1 us,  5.4 sy,  0.0 ni, 72.3 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  79930.5 free,  14341.6 used,   2046.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  81097.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1474101 rx9600    20   0   13.7g   9.6g  11032 S  2171  10.2  45707:45 python3', '1815007 nq7776    20   0   56636   5272   3548 R  11.8   0.0   0:00.03 top', '      1 root      20   0  253340  11648   8252 S   0.0   0.0   1:20.97 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:08.24 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 17:49:56 up 47 days, 18:58,  0 users,  load average: 11.08, 13.58, 15.50\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,10,0,uc2n452.localdomain,None,1,None,26a3180e591a29b5656cd08a7845f62d,0.124515,0.163493,156.0,135.0,273.0,1303.0,21973.0,43630.0
OMP,BiCGStab,ILU,5,10,0,uc2n452.localdomain,None,1,None,935d89682bb79797c22941ec7cdf2a9b,0.108926,0.126802,86.0,135.0,194.0,1066.0,19397.0,35816.0
OMP,CG,NoPrecond,5,10,0,uc2n452.localdomain,None,1,None,5358d999cf24ce091f10168343d2514e,0.094877,0.126428,441.0,135.0,213.0,1070.0,9041.0,36957.0
OMP,CG,BJ,5,10,0,uc2n452.localdomain,16,1,None,208365728eacff9d84c343963f193a67,0.095489,0.129626,315.0,135.0,193.0,1043.0,17908.0,38175.0
OMP,CG,BJ,5,10,0,uc2n452.localdomain,8,1,None,08bc0e01e8d2a7de2665ee36cf0b6b5d,0.093517,0.119881,361.0,135.0,197.0,1065.0,7829.0,29322.0
OMP,CG,BJ,5,10,0,uc2n452.localdomain,2,1,None,4f457c6a9c475a247d2998eec52f9c34,0.10583,0.122247,386.0,135.0,204.0,1113.0,8158.0,32233.0
OMP,CG,BJ,5,10,0,uc2n452.localdomain,4,1,None,3affe82401a298b0d46a5da215b0a6ef,0.091762,0.131258,384.0,135.0,217.0,1066.0,17342.0,40059.0
OMP,CG,BJ,5,10,0,uc2n452.localdomain,1,1,None,32f9835773815cb49fc2a9d2f69240d4,0.093911,0.148142,404.0,135.0,201.0,1184.0,28829.0,52446.0
OMP,BiCGStab,NoPrecond,5,10,0,uc2n452.localdomain,None,1,None,a9e8e066e4a7768cbf74c4d78776c868,0.103528,0.185515,296.0,135.0,215.0,1638.0,21285.0,79667.0
OMP,BiCGStab,BJ,5,10,0,uc2n452.localdomain,None,1,None,2c315f579289d9729b45e9084e892ac8,0.136765,0.132557,193.0,135.0,197.0,1178.0,9085.0,34615.0
OMP,IR,NoPrecond,5,10,0,uc2n452.localdomain,None,1,0.1,7b8d9178a73f668d4bf154269ff81d11,0.117263,0.190792,64.0,135.0,266.0,1655.0,15936.0,65448.0
OMP,IR,NoPrecond,5,10,0,uc2n452.localdomain,None,1,0.01,88e5a62868535db477ae7e0e09eb77dc,0.13058,0.182656,36.0,135.0,303.0,1478.0,14895.0,51665.0
OMP,IR,NoPrecond,5,10,0,uc2n452.localdomain,None,1,0.05,0489f4fdd9b71385f87837fea14af0f6,0.132454,0.18499,51.0,135.0,263.0,1654.0,15561.0,58303.0
OMP,IR,NoPrecond,5,10,0,uc2n452.localdomain,None,1,0.001,731321ddee752a59c1699122fa4ba010,0.100155,0.141453,26.0,135.0,196.0,1136.0,10146.0,47857.0
OMP,CG,ILU,15,10,0,uc2n452.localdomain,None,1,None,30ddef9477e50b611e9971d635e7f80a,0.169092,0.289402,592.0,135.0,2379.0,19348.0,43294.0,137382.0
OMP,BiCGStab,ILU,15,10,0,uc2n452.localdomain,None,1,None,490adafb8f9ad8a2fa9bc1f6ab84b1fc,0.155509,0.344825,432.0,135.0,2375.0,19097.0,57666.0,192032.0
OMP,CG,NoPrecond,15,10,0,uc2n452.localdomain,None,1,None,78390a48cb380f7037f3addafdac09aa,0.152763,0.356545,1882.0,135.0,2599.0,19484.0,48774.0,186966.0
OMP,CG,BJ,15,10,0,uc2n452.localdomain,16,1,None,b3d534d135e02c2bfeaae90b475314ed,0.155588,0.348446,1590.0,135.0,2370.0,19380.0,50132.0,188214.0
OMP,CG,BJ,15,10,0,uc2n452.localdomain,8,1,None,bb4f40d9ceb0f278ca0e157bccc7b0b4,0.174843,0.387671,1599.0,135.0,2494.0,22261.0,57588.0,211803.0
