executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n397.localdomain\n', 'top': ['top - 17:07:30 up 48 days,  4:09,  0 users,  load average: 30.36, 30.11, 30.46', 'Tasks: 1048 total,  31 running, 1017 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  2.6 us,  0.1 sy,  0.0 ni, 97.3 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  61837.6 free,  31711.8 used,   2769.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  63724.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2970112 ho_visw+  20   0 1137432 780916  18380 R  12.5   0.8  77:52.07 R', '2970230 ho_visw+  20   0 1128996 772504  18188 R  12.5   0.8  77:51.89 R', '3156988 nq7776    20   0   56636   5284   3560 R  12.5   0.0   0:00.03 top', '2970046 ho_visw+  20   0 1158276 802036  18440 R   6.2   0.8  77:51.90 R', '2970059 ho_visw+  20   0 1152960 796336  18164 R   6.2   0.8  77:51.88 R', '2970072 ho_visw+  20   0 1158380 802052  18352 R   6.2   0.8  77:51.72 R', '2970086 ho_visw+  20   0 1117040 760132  18028 R   6.2   0.8  77:51.87 R', '2970099 ho_visw+  20   0 1022660 666236  18128 R   6.2   0.7  77:51.85 R'], 'uptime': ' 17:07:30 up 48 days,  4:09,  0 users,  load average: 30.36, 30.11, 30.46\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,20,0,uc2n397.localdomain,None,None,1,0,0.09689,0.092106,0,0,0,0,0,0
OMP,CG,ILU,5,20,0,uc2n397.localdomain,None,None,1,fb39d0233f6a2f7057e01d8dbaea4732,0.093052,0.115687,156.0,135.0,187.0,1288.0,8768.0,28041.0
OMP,BiCGStab,ILU,5,20,0,uc2n397.localdomain,None,None,1,e1c5e0cc737604bef0c7f1cc8a576382,0.092485,0.120035,88.0,135.0,215.0,1332.0,10548.0,32328.0
OMP,CG,NoPrecond,5,20,0,uc2n397.localdomain,None,None,1,78572db1625dd77e131a3171d1b6b2cb,0.091216,0.234782,441.0,135.0,219.0,1271.0,89290.0,141516.0
OMP,CG,BJ,5,20,0,uc2n397.localdomain,16,None,1,2a1e3d34e4f545aab422bb913a8e2f74,0.322367,0.130305,315.0,135.0,201.0,1343.0,10107.0,37245.0
OMP,CG,BJ,5,20,0,uc2n397.localdomain,8,None,1,f7756cca917a6e5740e5be58b987edb4,0.095059,0.216964,361.0,135.0,211.0,1452.0,92252.0,124765.0
OMP,CG,BJ,5,20,0,uc2n397.localdomain,2,None,1,ada0ed8d616e0c25adb403d691a3e0f6,0.104139,0.133595,386.0,135.0,192.0,1261.0,14493.0,43909.0
OMP,CG,BJ,5,20,0,uc2n397.localdomain,4,None,1,6ce512746375443671985fe2598579be,0.093363,0.194154,384.0,135.0,189.0,1421.0,55037.0,103433.0
OMP,CG,BJ,5,20,0,uc2n397.localdomain,1,None,1,55bdae52981027a4a78f066940c43f45,0.096066,0.13183,404.0,135.0,186.0,1275.0,11018.0,42125.0
