executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,innerReductionFactor,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n421.localdomain\n', 'top': ['top - 18:07:01 up 47 days, 13:52,  0 users,  load average: 5.21, 17.18, 25.92', 'Tasks: 1093 total,   5 running, 1088 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  4.6 us,  0.6 sy,  0.0 ni, 94.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  82582.7 free,   8174.8 used,   5561.2 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  87261.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1315240 tu_psid+  20   0  378932  90976   7576 R 100.0   0.1  91:39.97 python', '1315242 tu_psid+  20   0  385580  97724   7464 R 100.0   0.1  91:40.27 python', '1319496 tu_psid+  20   0  360496  70000   7724 R 100.0   0.1  68:04.29 python', '1315241 tu_psid+  20   0  366128  72664   7664 R  94.1   0.1  91:40.25 python', '1334921 nq7776    20   0   56784   5308   3592 R  11.8   0.0   0:00.03 top', '      1 root      20   0  261536  11648   8224 S   0.0   0.0   6:18.73 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:35.61 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp'], 'uptime': ' 18:07:01 up 47 days, 13:52,  0 users,  load average: 5.21, 17.18, 25.92\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,32,0,uc2n421.localdomain,1,0,0,8722d580c1a2fa0a8b19cafebb3cee2e,0.213751,0.239934,156.0,135.0,219.0,1521.0,116259.0,142953.0
OMP,BiCGStab,ILU,5,32,0,uc2n421.localdomain,1,0,0,0e431d882d81e713cc1c4d99420023af,0.199125,0.235544,86.0,135.0,215.0,1530.0,109573.0,138507.0
OMP,CG,NoPrecond,5,32,0,uc2n421.localdomain,1,0,0,63603b3bfae8a323709a32841c343af7,0.140274,0.247928,441.0,135.0,221.0,1540.0,97933.0,149723.0
OMP,CG,BJ,5,32,0,uc2n421.localdomain,1,0,16,ee0b7d7fd6557bf85cbd54e39fdbc30b,0.192355,0.196974,315.0,135.0,212.0,1457.0,39139.0,92423.0
OMP,CG,BJ,5,32,0,uc2n421.localdomain,1,0,8,58d5173534d4cbd2a8d25dc9c6d650bb,6.699205,39.240226,361.0,135.0,200.0,1430.0,6586682.0,38135970.0
OMP,CG,BJ,5,32,0,uc2n421.localdomain,1,0,2,834c1c5e38a922c839256a8f52b4d5ac,7.201567,41.193535,386.0,135.0,184.0,1757.0,7124250.0,40882085.0
OMP,CG,BJ,5,32,0,uc2n421.localdomain,1,0,4,ecdb4921b602dd1cd04fe9051e880633,7.093937,0.244693,384.0,135.0,202.0,1502.0,105003.0,148079.0
OMP,CG,BJ,5,32,0,uc2n421.localdomain,1,0,1,206d4b9aba4444f71be987db145ffde3,7.322087,0.243097,404.0,135.0,231.0,1264.0,87097.0,145486.0
OMP,BiCGStab,NoPrecond,5,32,0,uc2n421.localdomain,1,0,0,e26d763df4278ae95d088e850870a69f,0.169371,7.237088,293.0,135.0,197.0,1715.0,7053960.0,7129704.0
OMP,BiCGStab,BJ,5,32,0,uc2n421.localdomain,1,0,0,d0d9f15959c633aca0f92e6faaeea3c1,0.222551,0.205588,194.0,135.0,211.0,1509.0,66502.0,109050.0
OMP,IR,NoPrecond,5,32,0,uc2n421.localdomain,1,0.1,0,990262fb35227140effa541607713fb3,0.207378,0.240989,64.0,135.0,225.0,1549.0,58169.0,141335.0
OMP,IR,NoPrecond,5,32,0,uc2n421.localdomain,1,0.01,0,7b07e43bf21b1e38ce066c6e4aa6a91c,11.977378,74.983517,36.0,135.0,195.0,1591.0,11914266.0,71958100.0
OMP,IR,NoPrecond,5,32,0,uc2n421.localdomain,1,0.05,0,fcde36090a3e8e96f1a00d9319275458,0.283243,0.216394,51.0,135.0,216.0,1417.0,27711.0,116491.0
